destination_name,origin_name,2019,2020,2021,2022
DE,DE,339217.0,245796.0,290204.0,380604.0
GB,GB,192960.0,158698.0,269366.0,371034.0
FR,FR,144794.0,120204.0,174379.0,246330.0
IT,IT,136583.0,91451.0,116133.0,125392.0
RU,RU,84569.0,68115.0,110037.0,93031.0
ES,ES,69581.0,68273.0,106689.0,144727.0
GB,ES,64463.0,25926.0,31651.0,75803.0
GB,DE,60938.0,25685.0,22181.0,45954.0
DE,GB,59775.0,25957.0,22266.0,46948.0
ES,GB,54095.0,25809.0,31765.0,80565.0
IT,DE,51788.0,21098.0,26990.0,44921.0
IE,GB,50415.0,18013.0,15703.0,45327.0
GB,IE,50122.0,18375.0,15574.0,45128.0
SE,SE,49742.0,31674.0,38078.0,52641.0
DE,IT,47487.0,19661.0,25247.0,42337.0
NO,NO,47335.0,50898.0,78346.0,70727.0
IT,GB,43955.0,17452.0,14282.0,39952.0
GB,IT,41607.0,16165.0,13411.0,38523.0
DE,ES,40515.0,22318.0,38009.0,60293.0
ES,DE,39679.0,22681.0,38684.0,62718.0
FR,GB,38675.0,16798.0,15337.0,44593.0
GB,FR,35826.0,15096.0,15537.0,41226.0
DE,CH,35741.0,16004.0,16832.0,27501.0
CH,DE,34537.0,15920.0,16856.0,27574.0
GB,NL,34531.0,13480.0,11766.0,33654.0
CH,CH,34307.0,41328.0,52864.0,62996.0
DE,AT,34187.0,14499.0,16049.0,28772.0
AT,DE,34085.0,14671.0,16038.0,28759.0
IT,FR,33355.0,12120.0,18659.0,37199.0
FR,DE,32729.0,15657.0,20595.0,38279.0
FR,ES,32200.0,14263.0,23433.0,40616.0
FR,IT,31721.0,11223.0,17262.0,36268.0
NL,GB,30436.0,12259.0,11851.0,33433.0
DE,FR,30365.0,14898.0,19294.0,36328.0
IT,ES,30319.0,11961.0,19489.0,35186.0
TR,TR,30214.0,26283.0,30799.0,21577.0
ES,FR,29824.0,13982.0,23117.0,40090.0
GB,CH,29472.0,11987.0,8238.0,25105.0
CH,GB,28815.0,12032.0,8244.0,24038.0
ES,IT,27067.0,11203.0,18757.0,35248.0
GB,PT,22086.0,9865.0,13356.0,27702.0
PT,GB,21946.0,9607.0,13122.0,27424.0
DK,DK,21536.0,20809.0,27469.0,32904.0
TR,DE,21500.0,12531.0,15565.0,21137.0
DE,NL,18869.0,10164.0,12469.0,20591.0
PL,GB,18635.0,10357.0,9878.0,19769.0
RU,DE,18078.0,5847.0,6316.0,1204.0
NL,DE,17890.0,9408.0,12105.0,20240.0
DE,RU,17698.0,5865.0,6342.0,1168.0
GR,GR,16835.0,9359.0,8484.0,20551.0
GB,PL,16723.0,9866.0,9736.0,18634.0
FR,CH,16404.0,8335.0,12649.0,22836.0
PL,PL,16397.0,28289.0,40086.0,52457.0
CH,FR,15865.0,8028.0,13245.0,21328.0
FI,FI,15832.0,14147.0,11276.0,18134.0
PL,DE,15789.0,10518.0,12429.0,19916.0
GR,DE,15676.0,5908.0,7617.0,12504.0
DK,DE,14778.0,6906.0,6674.0,12547.0
DE,PL,14500.0,9826.0,11930.0,19069.0
NL,NL,14384.0,18021.0,24828.0,32154.0
SE,DE,14080.0,5667.0,6179.0,10096.0
PT,PT,13948.0,18939.0,35129.0,47906.0
CH,ES,13851.0,6080.0,11616.0,17312.0
DE,DK,13632.0,6897.0,6615.0,12395.0
DE,GR,13601.0,5072.0,7377.0,13273.0
DE,TR,13554.0,9019.0,15928.0,20006.0
ES,CH,13454.0,6117.0,11689.0,18342.0
BE,ES,13450.0,6213.0,9231.0,14045.0
IT,NL,13368.0,5927.0,9404.0,15044.0
PT,DE,13182.0,6688.0,8826.0,15354.0
DE,SE,13176.0,5384.0,5846.0,10003.0
ES,NL,13010.0,7998.0,13650.0,19562.0
NL,ES,12696.0,7321.0,13143.0,18255.0
PT,ES,12601.0,6798.0,9694.0,19460.0
AT,AT,12595.0,14836.0,22439.0,26686.0
DE,PT,12407.0,6697.0,8902.0,15555.0
IT,CH,12106.0,5249.0,7075.0,11750.0
DK,GB,12096.0,4369.0,3414.0,10442.0
PT,FR,12053.0,8889.0,12975.0,23730.0
ES,PT,12049.0,6576.0,9360.0,19602.0
ES,BE,12019.0,6501.0,9694.0,14839.0
FR,PT,11988.0,9110.0,13640.0,24829.0
GB,DK,11798.0,4344.0,3358.0,10380.0
IT,BE,11599.0,5362.0,7110.0,11467.0
GR,GB,11398.0,3967.0,4655.0,10801.0
CZ,CZ,11014.0,14004.0,27307.0,27356.0
IT,RU,10863.0,2535.0,2668.0,451.0
BE,IT,10847.0,4998.0,7268.0,11378.0
NL,IT,10811.0,4720.0,8257.0,13788.0
CH,IT,10742.0,4516.0,6212.0,10628.0
RU,IT,10474.0,2631.0,2351.0,455.0
BE,DE,10443.0,6620.0,7634.0,10527.0
SE,FI,10347.0,4263.0,3660.0,6581.0
DE,BE,10188.0,6705.0,7700.0,10665.0
FI,SE,10127.0,4026.0,3540.0,6494.0
DK,NO,10077.0,5069.0,4856.0,9742.0
FR,NL,10001.0,5394.0,7941.0,12909.0
NO,DK,9863.0,5224.0,4906.0,9715.0
SE,GB,9857.0,3249.0,2403.0,7393.0
GB,SE,9785.0,3239.0,2351.0,7250.0
GB,GR,9727.0,3601.0,4497.0,10634.0
SE,DK,9609.0,4168.0,4001.0,7484.0
DK,SE,9401.0,4064.0,4022.0,7340.0
