destination_name,2019,2020,2021,2022
DE,1076924.0,588880.0,722525.0,1057002.0
GB,1006897.0,498092.0,621418.0,1137072.0
FR,608243.0,334796.0,464544.0,752377.0
IT,590707.0,279141.0,387677.0,587549.0
ES,477681.0,254637.0,395246.0,645208.0
RU,451283.0,281918.0,391536.0,326513.0
TR,345140.0,196629.0,257042.0,315398.0
CH,262054.0,147435.0,187863.0,283930.0
NL,241777.0,134960.0,181974.0,278937.0
SE,191365.0,86750.0,101840.0,164697.0
NO,163702.0,116932.0,159537.0,206394.0
BE,155828.0,83174.0,112741.0,158517.0
AT,154637.0,76939.0,102408.0,158146.0
DK,149059.0,73955.0,89328.0,153100.0
PL,146708.0,100853.0,139856.0,215797.0
PT,145684.0,84618.0,127585.0,215241.0
IE,137289.0,57296.0,61168.0,137931.0
GR,133379.0,53345.0,64246.0,104866.0
FI,93314.0,45553.0,43296.0,79933.0
CZ,77672.0,41032.0,61317.0,85094.0
HU,50542.0,23080.0,29066.0,52422.0
UA,42470.0,30804.0,48746.0,6570.0
IL,41612.0,14587.0,32859.0,62699.0
LV,38035.0,18021.0,19933.0,24079.0
RO,37574.0,21602.0,36856.0,61133.0
LU,29699.0,19291.0,22861.0,34252.0
IS,28137.0,8996.0,11425.0,19823.0
KZ,24834.0,14867.0,24607.0,5848.0
HR,21426.0,13156.0,18719.0,18923.0
RS,18580.0,9317.0,14272.0,28854.0
MT,17009.0,11697.0,16131.0,20526.0
EE,14055.0,8148.0,10744.0,17016.0
SK,11816.0,7579.0,10673.0,15181.0
SI,10018.0,7434.0,11063.0,17099.0
LT,9940.0,13057.0,20556.0,31302.0
CY,8540.0,9365.0,23898.0,39959.0
BG,8053.0,3000.0,18893.0,25968.0
PK,2198.0,1539.0,2496.0,3207.0
BY,774.0,11244.0,12211.0,9780.0
BA,513.0,258.0,602.0,1220.0
GE,322.0,576.0,760.0,1988.0
AZ,160.0,83.0,77.0,141.0
GI,122.0,311.0,633.0,1690.0
MD,3.0,1.0,1.0,1286.0
