origin_name,2019,2020,2021,2022
DE,816267.0,473111.0,564670.0,833562.0
GB,661991.0,361623.0,466538.0,855499.0
US,656766.0,567945.0,664537.0,810237.0
IT,399517.0,193847.0,256014.0,400233.0
FR,385274.0,229302.0,331530.0,539088.0
ES,347889.0,191013.0,298196.0,488088.0
CH,206280.0,120395.0,149707.0,233276.0
RU,181350.0,111204.0,153706.0,117886.0
NL,173946.0,97593.0,128912.0,209982.0
SE,142121.0,67696.0,79933.0,130153.0
AT,114682.0,59901.0,78647.0,127055.0
DK,113370.0,61281.0,73860.0,125644.0
PT,108771.0,70218.0,108227.0,181917.0
IE,104598.0,45852.0,48948.0,112681.0
BE,103480.0,59169.0,77615.0,115254.0
NO,103288.0,75282.0,104688.0,130022.0
PL,102031.0,80202.0,109130.0,168603.0
GR,84349.0,32930.0,45524.0,89699.0
TR,81391.0,60692.0,98757.0,113685.0
FI,68995.0,34701.0,33442.0,64635.0
CZ,56835.0,34080.0,52079.0,70130.0
AE,51574.0,26576.0,31937.0,55134.0
HU,45523.0,19247.0,23594.0,43912.0
CA,36601.0,19735.0,19737.0,36888.0
QA,34277.0,21481.0,23033.0,26245.0
LV,31550.0,15772.0,17031.0,18704.0
RO,27232.0,16343.0,24916.0,46657.0
IL,22361.0,14480.0,22518.0,42656.0
UA,21909.0,19044.0,24435.0,3732.0
LU,20821.0,12381.0,13882.0,25172.0
IN,18530.0,9385.0,9021.0,12449.0
IS,17271.0,6068.0,6262.0,11605.0
HR,14189.0,9345.0,13137.0,17043.0
RS,13749.0,7929.0,13314.0,21003.0
EE,12353.0,7492.0,8993.0,14541.0
HK,11485.0,7876.0,7775.0,3836.0
BR,10287.0,5016.0,5758.0,4555.0
DZ,10206.0,3713.0,2824.0,8502.0
MT,9292.0,9059.0,12804.0,16511.0
KZ,8960.0,4068.0,6725.0,1098.0
TH,8668.0,3945.0,2154.0,6011.0
BG,8165.0,1966.0,14964.0,21873.0
SK,7772.0,6025.0,8423.0,11518.0
SI,7377.0,5822.0,8499.0,10958.0
ZA,7370.0,3973.0,3530.0,5215.0
KR,7245.0,6143.0,3096.0,6411.0
SA,6682.0,1827.0,1753.0,2428.0
JP,6505.0,2491.0,7171.0,4359.0
MA,6267.0,8440.0,14597.0,21529.0
LB,6002.0,2673.0,6154.0,7553.0
LT,5937.0,8798.0,15096.0,22479.0
JE,5614.0,2658.0,5565.0,8065.0
AU,5448.0,2926.0,2168.0,3847.0
BH,4711.0,2133.0,2550.0,3017.0
CY,3782.0,6523.0,16082.0,25737.0
AR,3639.0,971.0,813.0,3511.0
SN,3250.0,1051.0,2874.0,1521.0
TW,3060.0,2138.0,1842.0,1224.0
SG,2980.0,4173.0,5130.0,853.0
MY,2954.0,1055.0,746.0,834.0
GG,2854.0,1339.0,3315.0,8018.0
MX,2530.0,858.0,1880.0,3574.0
IM,2456.0,1281.0,2025.0,5680.0
CN,2008.0,1662.0,1743.0,687.0
PH,1096.0,460.0,554.0,901.0
GM,972.0,346.0,292.0,339.0
CO,734.0,1646.0,1073.0,2128.0
GE,698.0,210.0,535.0,2572.0
BY,666.0,8695.0,6618.0,5800.0
CV,652.0,122.0,259.0,84.0
PE,497.0,697.0,1146.0,1283.0
BM,473.0,246.0,253.0,376.0
LK,447.0,397.0,3.0,2.0
BN,333.0,95.0,28.0,74.0
ID,288.0,13.0,38.0,50.0
TN,252.0,290.0,225.0,4.0
NZ,239.0,24.0,9.0,116.0
EC,202.0,70.0,71.0,136.0
DO,179.0,908.0,25.0,1005.0
LC,114.0,48.0,37.0,31.0
AZ,99.0,44.0,38.0,86.0
GW,95.0,11.0,60.0,7.0
PK,40.0,10.0,204.0,87.0
BB,36.0,90.0,540.0,1374.0
BA,26.0,29.0,22.0,471.0
BD,20.0,373.0,683.0,1921.0
VC,16.0,30.0,33.0,7.0
GI,7.0,76.0,497.0,1001.0
JO,4.0,1.0,4.0,28.0
MD,3.0,2.0,2.0,625.0
PF,3.0,15.0,12.0,1.0
EG,2.0,487.0,1565.0,20.0
LY,1.0,8.0,3.0,5.0
GT,1.0,107.0,311.0,209.0
VN,1.0,308.0,1063.0,261.0
