,destination_name,mese_id,flights_2021,flights_2022
0,HU,1,932.0,3200.0
1,LT,1,808.0,1794.0
2,PL,1,4661.0,11463.0
3,RO,1,1662.0,3112.0
4,RU,1,22323.0,30393.0
5,SK,1,435.0,703.0
6,UA,1,2661.0,3927.0
7,HU,2,930.0,3050.0
8,LT,2,708.0,1658.0
9,PL,2,3919.0,11010.0
10,RO,2,1378.0,2903.0
11,RU,2,18868.0,26469.0
12,SK,2,360.0,673.0
13,UA,2,2131.0,2642.0
14,HU,3,1079.0,3906.0
15,LT,3,971.0,2020.0
16,PL,3,5611.0,16082.0
17,RO,3,1608.0,4372.0
18,RU,3,24114.0,21253.0
19,SK,3,636.0,1195.0
20,UA,3,2826.0,0.0
21,HU,4,1123.0,4392.0
22,LT,4,1236.0,2302.0
23,PL,4,6613.0,16479.0
24,RO,4,2156.0,5460.0
25,RU,4,27687.0,20063.0
26,SK,4,626.0,1096.0
27,UA,4,3225.0,0.0
28,HU,5,1299.0,4881.0
29,LT,5,1508.0,2940.0
30,PL,5,8473.0,20404.0
31,RO,5,2506.0,5598.0
32,RU,5,33180.0,25400.0
33,SK,5,666.0,1476.0
34,UA,5,3988.0,0.0
35,HU,6,2377.0,5165.0
36,LT,6,2085.0,3426.0
37,PL,6,14483.0,22494.0
38,RO,6,3614.0,6002.0
39,RU,6,40645.0,30862.0
40,SK,6,1172.0,1766.0
41,UA,6,5127.0,0.0
42,HU,7,3256.0,5191.0
43,LT,7,2115.0,3522.0
44,PL,7,17396.0,22940.0
45,RO,7,4464.0,6396.0
46,RU,7,43441.0,34746.0
47,SK,7,1357.0,1719.0
48,UA,7,5270.0,0.0
49,HU,8,3621.0,4801.0
50,LT,8,2464.0,3776.0
51,PL,8,18183.0,23440.0
52,RO,8,4689.0,6334.0
53,RU,8,44335.0,37750.0
54,SK,8,1303.0,1849.0
55,UA,8,5404.0,0.0
56,HU,9,3693.0,4863.0
57,LT,9,2405.0,3254.0
58,PL,9,17309.0,21908.0
59,RO,9,4384.0,5620.0
60,RU,9,35816.0,32471.0
61,SK,9,1426.0,1634.0
62,UA,9,5260.0,0.0
63,HU,10,3517.0,4933.0
64,LT,10,2430.0,2998.0
65,PL,10,15892.0,20447.0
66,RO,10,3762.0,5746.0
67,RU,10,37969.0,26292.0
68,SK,10,1116.0,1356.0
69,UA,10,4813.0,0.0
70,HU,11,3506.0,4081.0
71,LT,11,1890.0,2005.0
72,PL,11,13656.0,14987.0
73,RO,11,3119.0,5136.0
74,RU,11,32263.0,21044.0
75,SK,11,776.0,944.0
76,UA,11,3919.0,1.0
77,HU,12,3733.0,3959.0
78,LT,12,1936.0,1607.0
79,PL,12,13660.0,14143.0
80,RO,12,3514.0,4454.0
81,RU,12,30895.0,19770.0
82,SK,12,800.0,770.0
83,UA,12,4122.0,0.0
