ISO,COUNTRY,YEAR,GID_1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS
ALB,Albania,2018,ALB.10_1,Protests,Peaceful protest,7
ALB,Albania,2018,ALB.10_1,Riots,Violent demonstration,2
ALB,Albania,2018,ALB.11_1,Explosions/Remote violence,Remote explosive/landmine/IED,3
ALB,Albania,2018,ALB.11_1,Protests,Peaceful protest,115
ALB,Albania,2018,ALB.11_1,Riots,Violent demonstration,17
ALB,Albania,2018,ALB.11_1,Violence against civilians,Attack,1
ALB,Albania,2018,ALB.12_1,Protests,Peaceful protest,13
ALB,Albania,2018,ALB.12_1,Riots,Violent demonstration,1
ALB,Albania,2018,ALB.1_1,Protests,Peaceful protest,2
ALB,Albania,2018,ALB.2_1,Protests,Peaceful protest,6
ALB,Albania,2018,ALB.2_1,Riots,Violent demonstration,1
ALB,Albania,2018,ALB.3_1,Protests,Peaceful protest,8
ALB,Albania,2018,ALB.3_1,Riots,Violent demonstration,1
ALB,Albania,2018,ALB.4_1,Protests,Peaceful protest,14
ALB,Albania,2018,ALB.4_1,Riots,Violent demonstration,1
ALB,Albania,2018,ALB.5_1,Protests,Peaceful protest,13
ALB,Albania,2018,ALB.6_1,Battles,Armed clash,1
ALB,Albania,2018,ALB.6_1,Protests,Peaceful protest,6
ALB,Albania,2018,ALB.6_1,Riots,Mob violence,1
ALB,Albania,2018,ALB.7_1,Protests,Peaceful protest,12
ALB,Albania,2018,ALB.7_1,Riots,Violent demonstration,1
ALB,Albania,2018,ALB.8_1,Protests,Peaceful protest,8
ALB,Albania,2018,ALB.8_1,Riots,Violent demonstration,1
ALB,Albania,2018,ALB.9_1,Protests,Peaceful protest,7
ALB,Albania,2019,ALB.10_1,Protests,Peaceful protest,11
ALB,Albania,2019,ALB.10_1,Riots,Mob violence,1
ALB,Albania,2019,ALB.10_1,Riots,Violent demonstration,4
ALB,Albania,2019,ALB.11_1,Protests,Peaceful protest,122
ALB,Albania,2019,ALB.11_1,Protests,Protest with intervention,6
ALB,Albania,2019,ALB.11_1,Riots,Mob violence,5
ALB,Albania,2019,ALB.11_1,Riots,Violent demonstration,53
ALB,Albania,2019,ALB.12_1,Explosions/Remote violence,Remote explosive/landmine/IED,1
ALB,Albania,2019,ALB.12_1,Protests,Peaceful protest,6
ALB,Albania,2019,ALB.12_1,Riots,Violent demonstration,1
ALB,Albania,2019,ALB.12_1,Violence against civilians,Attack,1
ALB,Albania,2019,ALB.1_1,Protests,Peaceful protest,10
