ISO,COUNTRY,YEAR,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS
ALB,Albania,2018,Battles,Armed clash,1
ALB,Albania,2018,Explosions/Remote violence,Remote explosive/landmine/IED,3
ALB,Albania,2018,Protests,Peaceful protest,211
ALB,Albania,2018,Riots,Mob violence,1
ALB,Albania,2018,Riots,Violent demonstration,25
ALB,Albania,2018,Violence against civilians,Attack,1
ALB,Albania,2019,Explosions/Remote violence,Remote explosive/landmine/IED,1
ALB,Albania,2019,Protests,Peaceful protest,233
ALB,Albania,2019,Protests,Protest with intervention,7
ALB,Albania,2019,Riots,Mob violence,13
ALB,Albania,2019,Riots,Violent demonstration,80
ALB,Albania,2019,Violence against civilians,Attack,4
ALB,Albania,2020,Explosions/Remote violence,Remote explosive/landmine/IED,1
ALB,Albania,2020,Protests,Peaceful protest,193
ALB,Albania,2020,Protests,Protest with intervention,12
ALB,Albania,2020,Riots,Mob violence,3
ALB,Albania,2020,Riots,Violent demonstration,11
ALB,Albania,2020,Violence against civilians,Attack,2
ALB,Albania,2020,Violence against civilians,Sexual violence,1
ALB,Albania,2021,Battles,Armed clash,1
ALB,Albania,2021,Explosions/Remote violence,Remote explosive/landmine/IED,2
ALB,Albania,2021,Protests,Excessive force against protesters,1
ALB,Albania,2021,Protests,Peaceful protest,136
ALB,Albania,2021,Protests,Protest with intervention,9
ALB,Albania,2021,Riots,Mob violence,11
ALB,Albania,2021,Riots,Violent demonstration,3
ALB,Albania,2021,Violence against civilians,Attack,6
ALB,Albania,2022,Battles,Armed clash,1
ALB,Albania,2022,Explosions/Remote violence,Remote explosive/landmine/IED,1
ALB,Albania,2022,Protests,Peaceful protest,147
ALB,Albania,2022,Protests,Protest with intervention,2
ALB,Albania,2022,Riots,Mob violence,2
ALB,Albania,2022,Riots,Violent demonstration,1
ALB,Albania,2022,Violence against civilians,Attack,2
ALB,Albania,2023,Protests,Peaceful protest,95
ALB,Albania,2023,Riots,Mob violence,3
ALB,Albania,2023,Violence against civilians,Attack,5
ALB,Albania,2024,Explosions/Remote violence,Remote explosive/landmine/IED,1
ALB,Albania,2024,Protests,Peaceful protest,62
ALB,Albania,2024,Protests,Protest with intervention,1
ALB,Albania,2024,Riots,Violent demonstration,14
ALB,Albania,2024,Violence against civilians,Attack,5
ALB,Albania,2025,Protests,Peaceful protest,21
ALB,Albania,2025,Protests,Protest with intervention,1
ALB,Albania,2025,Riots,Violent demonstration,1
ALB,Albania,2025,Violence against civilians,Attack,3
AND,Andorra,2020,Protests,Peaceful protest,5
AND,Andorra,2020,Violence against civilians,Attack,1
AND,Andorra,2021,Protests,Peaceful protest,6
AND,Andorra,2022,Protests,Peaceful protest,3
AND,Andorra,2022,Protests,Protest with intervention,1
AND,Andorra,2023,Protests,Peaceful protest,8
AND,Andorra,2024,Protests,Peaceful protest,2
AND,Andorra,2025,Protests,Peaceful protest,2
ARM,Armenia,2017,Battles,Armed clash,16
ARM,Armenia,2017,Protests,Peaceful protest,1
ARM,Armenia,2018,Battles,Armed clash,1308
ARM,Armenia,2018,Explosions/Remote violence,Air/drone strike,1
ARM,Armenia,2018,Explosions/Remote violence,Remote explosive/landmine/IED,2
ARM,Armenia,2018,Explosions/Remote violence,Shelling/artillery/missile attack,33
ARM,Armenia,2018,Protests,Excessive force against protesters,1
ARM,Armenia,2018,Protests,Peaceful protest,339
ARM,Armenia,2018,Protests,Protest with intervention,10
ARM,Armenia,2018,Riots,Mob violence,8
ARM,Armenia,2018,Riots,Violent demonstration,18
ARM,Armenia,2018,Violence against civilians,Attack,11
