admin2,event_type,fatalities
Alchevskyi,Battles,72
Alchevskyi,Explosions/Remote violence,366
Bakhchysaraiskyi,Explosions/Remote violence,10
Bakhmutskyi,Battles,10452
Bakhmutskyi,Explosions/Remote violence,2753
Bashtanskyi,Battles,16
Bashtanskyi,Explosions/Remote violence,505
Berdianskyi,Battles,6
Berdianskyi,Explosions/Remote violence,143
Berdychivskyi,Explosions/Remote violence,0
Berehivskyi,Explosions/Remote violence,0
Berezivskyi,Explosions/Remote violence,0
Beryslavskyi,Battles,1048
Beryslavskyi,Explosions/Remote violence,1608
Bilhorod-Dnistrovskyi,Explosions/Remote violence,35
Bilohirskyi,Explosions/Remote violence,0
Bilotserkivskyi,Explosions/Remote violence,0
Bohodukhivskyi,Battles,159
Bohodukhivskyi,Explosions/Remote violence,273
Bolhradskyi,Explosions/Remote violence,0
Boryspilskyi,Battles,0
Boryspilskyi,Explosions/Remote violence,1
Brovarskyi,Battles,123
Brovarskyi,Explosions/Remote violence,34
Buchanskyi,Battles,191
Buchanskyi,Explosions/Remote violence,151
Cherkaskyi,Explosions/Remote violence,13
Chernihivskyi,Battles,126
Chernihivskyi,Explosions/Remote violence,309
Chervonohradskyi,Explosions/Remote violence,1
Chortkivskyi,Explosions/Remote violence,0
Chuhuivskyi,Battles,3453
Chuhuivskyi,Explosions/Remote violence,524
Dniprovskyi,Explosions/Remote violence,152
Dnistrovskyi,Explosions/Remote violence,0
Donetskyi,Battles,1385
Donetskyi,Explosions/Remote violence,988
Dovzhanskyi,Battles,7
Dovzhanskyi,Explosions/Remote violence,7
Drohobytskyi,Explosions/Remote violence,0
Dubenskyi,Battles,0
Dubenskyi,Explosions/Remote violence,0
Dzhankoiskyi,Explosions/Remote violence,53
Fastivskyi,Battles,15
Fastivskyi,Explosions/Remote violence,8
Feodosiiskyi,Explosions/Remote violence,77
Haisynskyi,Explosions/Remote violence,0
Henicheskyi,Battles,10
Henicheskyi,Explosions/Remote violence,74
Holovanivskyi,Explosions/Remote violence,0
Horlivskyi,Battles,173
Horlivskyi,Explosions/Remote violence,565
Ivano-Frankivskyi,Explosions/Remote violence,0
Iziumskyi,Battles,500
Iziumskyi,Explosions/Remote violence,591
Izmailskyi,Explosions/Remote violence,17
Kakhovskyi,Battles,38
Kakhovskyi,Explosions/Remote violence,977
Kalmiuskyi,Battles,86
Kalmiuskyi,Explosions/Remote violence,135
Kaluskyi,Explosions/Remote violence,0
Kamianets-Podilskyi,Explosions/Remote violence,0
Kamianskyi,Battles,0
Kamianskyi,Explosions/Remote violence,1
Kerchenskyi,Explosions/Remote violence,4
Kharkivskyi,Battles,2547
Kharkivskyi,Explosions/Remote violence,1910
Khersonskyi,Battles,38698
Khersonskyi,Explosions/Remote violence,3912
Khmelnytskyi,Battles,0
Khmelnytskyi,Explosions/Remote violence,9
Khmilnytskyi,Explosions/Remote violence,4
Khustskyi,Explosions/Remote violence,2
Kolomyiskyi,Explosions/Remote violence,1
Konotopskyi,Battles,12
Konotopskyi,Explosions/Remote violence,45
Koriukivskyi,Battles,0
Koriukivskyi,Explosions/Remote violence,8
Korostenskyi,Battles,12
Korostenskyi,Explosions/Remote violence,40
Kovelskyi,Explosions/Remote violence,2
Kramatorskyi,Battles,3032
Kramatorskyi,Explosions/Remote violence,2621
Krasnohradskyi,Explosions/Remote violence,4
Kremenchutskyi,Battles,10
Kremenchutskyi,Explosions/Remote violence,11
Kremenetskyi,Explosions/Remote violence,0
Kropyvnytskyi,Battles,0
Kropyvnytskyi,Explosions/Remote violence,23
Kryvorizkyi,Battles,173
Kryvorizkyi,Explosions/Remote violence,141
Kupianskyi,Battles,2868
Kupianskyi,Explosions/Remote violence,2693
Kurmanskyi,Explosions/Remote violence,0
Kyiv,Battles,37
Kyiv,Explosions/Remote violence,161
Lozivskyi,Explosions/Remote violence,32
Lubenskyi,Explosions/Remote violence,0
Luhanskyi,Battles,2679
Luhanskyi,Explosions/Remote violence,96
Lutskyi,Battles,0
Lutskyi,Explosions/Remote violence,7
Lvivskyi,Explosions/Remote violence,26
Mariupolskyi,Battles,373
Mariupolskyi,Explosions/Remote violence,1263
Melitopolskyi,Battles,124
Melitopolskyi,Explosions/Remote violence,587
Mohyliv-Podilskyi,Explosions/Remote violence,1
Mukachivskyi,Explosions/Remote violence,0
Mykolaivskyi,Battles,342
Mykolaivskyi,Explosions/Remote violence,1014
Myrhorodskyi,Battles,0
Myrhorodskyi,Explosions/Remote violence,5
Nadvirnianskyi,Explosions/Remote violence,0
Nikopolskyi,Battles,40
Nikopolskyi,Explosions/Remote violence,226
Nizhynskyi,Battles,210
Nizhynskyi,Explosions/Remote violence,9
Novhorod-Siverskyi,Battles,6
Novhorod-Siverskyi,Explosions/Remote violence,26
Novomoskovskyi,Explosions/Remote violence,24
Obukhivskyi,Battles,3
Obukhivskyi,Explosions/Remote violence,13
Odeskyi,Battles,1
Odeskyi,Explosions/Remote violence,268
Okhtyrskyi,Battles,31
Okhtyrskyi,Explosions/Remote violence,153
Oleksandriiskyi,Explosions/Remote violence,0
Pavlohradskyi,Battles,0
Pavlohradskyi,Explosions/Remote violence,8
Perekopskyi,Battles,1
Perekopskyi,Explosions/Remote violence,4
Pervomaiskyi,Battles,0
Pervomaiskyi,Explosions/Remote violence,10
Podilskyi,Explosions/Remote violence,0
Pokrovskyi,Battles,26882
Pokrovskyi,Explosions/Remote violence,2413
Polohivskyi,Battles,3251
Polohivskyi,Explosions/Remote violence,3467
Poltavskyi,Battles,0
Poltavskyi,Explosions/Remote violence,65
Prylutskyi,Battles,0
Prylutskyi,Explosions/Remote violence,15
Rivnenskyi,Explosions/Remote violence,9
Romenskyi,Battles,10
Romenskyi,Explosions/Remote violence,10
Rovenkivskyi,Battles,0
Rovenkivskyi,Explosions/Remote violence,7
Rozdilnianskyi,Battles,0
Rozdilnianskyi,Explosions/Remote violence,0
Sambirskyi,Explosions/Remote violence,0
Sarnenskyi,Explosions/Remote violence,5
Sevastopol,Battles,0
Sevastopol,Explosions/Remote violence,117
Shchastynskyi,Battles,82
Shchastynskyi,Explosions/Remote violence,130
Shepetivskyi,Battles,1
Shepetivskyi,Explosions/Remote violence,0
Shostkynskyi,Battles,9
Shostkynskyi,Explosions/Remote violence,124
Sievierodonetskyi,Battles,2842
Sievierodonetskyi,Explosions/Remote violence,1856
Simferopolskyi,Explosions/Remote violence,14
Skadovskyi,Battles,256
