admin1,event_type,fatalities
Cherkasy,Explosions/Remote violence,50
Chernihiv,Battles,342
Chernihiv,Explosions/Remote violence,367
Chernivtsi,Battles,0
Chernivtsi,Explosions/Remote violence,0
Crimea,Battles,57
Crimea,Explosions/Remote violence,364
Dnipropetrovsk,Battles,213
Dnipropetrovsk,Explosions/Remote violence,613
Donetsk,Battles,46215
Donetsk,Explosions/Remote violence,13201
Ivano-Frankivsk,Explosions/Remote violence,1
Kharkiv,Battles,9527
Kharkiv,Explosions/Remote violence,6027
Kherson,Battles,40050
Kherson,Explosions/Remote violence,7334
Khmelnytskyi,Battles,1
Khmelnytskyi,Explosions/Remote violence,9
Kirovohrad,Battles,0
Kirovohrad,Explosions/Remote violence,23
Kyiv,Battles,336
Kyiv,Explosions/Remote violence,231
Kyiv City,Battles,37
Kyiv City,Explosions/Remote violence,161
Luhansk,Battles,7268
Luhansk,Explosions/Remote violence,4650
Lviv,Battles,0
Lviv,Explosions/Remote violence,68
Mykolaiv,Battles,358
Mykolaiv,Explosions/Remote violence,1556
Odesa,Battles,1
Odesa,Explosions/Remote violence,502
Poltava,Battles,10
Poltava,Explosions/Remote violence,81
Rivne,Battles,0
Rivne,Explosions/Remote violence,16
Sumy,Battles,111
Sumy,Explosions/Remote violence,1023
Ternopil,Explosions/Remote violence,1
Vinnytsia,Explosions/Remote violence,48
Volyn,Battles,0
Volyn,Explosions/Remote violence,12
Zakarpattia,Explosions/Remote violence,2
Zaporizhia,Battles,5634
Zaporizhia,Explosions/Remote violence,5713
Zhytomyr,Battles,13
Zhytomyr,Explosions/Remote violence,60
