admin3,event_type,year,fatalities
Abrykosivska,Explosions/Remote violence,2023,0
Adzhamska,Explosions/Remote violence,2022,10
Adzhamska,Explosions/Remote violence,2023,0
Alchevska,Battles,2021,0
Alchevska,Battles,2022,0
Alchevska,Battles,2023,8
Alchevska,Battles,2024,2
Alchevska,Explosions/Remote violence,2020,0
Alchevska,Explosions/Remote violence,2021,0
Alchevska,Explosions/Remote violence,2022,27
Alchevska,Explosions/Remote violence,2023,10
Alupkynska,Explosions/Remote violence,2024,2
Alushtynska,Explosions/Remote violence,2023,0
Amvrosiivska,Explosions/Remote violence,2022,8
Amvrosiivska,Explosions/Remote violence,2023,0
Amvrosiivska,Explosions/Remote violence,2024,0
Andriiashivska,Explosions/Remote violence,2024,0
Andriivska,Battles,2024,0
Andriivska,Explosions/Remote violence,2022,0
Andriivska,Explosions/Remote violence,2023,3
Andriivska,Explosions/Remote violence,2024,0
Andrivska,Explosions/Remote violence,2022,0
Andrivska,Explosions/Remote violence,2023,0
Antratsytivska,Explosions/Remote violence,2024,0
Apostolivska,Battles,2022,0
Apostolivska,Explosions/Remote violence,2022,11
Apostolivska,Explosions/Remote violence,2024,0
Arbuzynska,Explosions/Remote violence,2022,0
Armianska,Explosions/Remote violence,2023,0
Armianska,Explosions/Remote violence,2024,3
Artsyzka,Explosions/Remote violence,2022,0
Askaniia-Nova,Explosions/Remote violence,2022,0
Askaniia-Nova,Explosions/Remote violence,2023,0
Askaniia-Nova,Explosions/Remote violence,2024,0
Avanhardivska,Explosions/Remote violence,2022,0
Avdiivska,Battles,2020,5
Avdiivska,Battles,2021,2
Avdiivska,Battles,2022,75
Avdiivska,Battles,2023,904
Avdiivska,Battles,2024,13
Avdiivska,Explosions/Remote violence,2020,0
Avdiivska,Explosions/Remote violence,2021,3
Avdiivska,Explosions/Remote violence,2022,390
Avdiivska,Explosions/Remote violence,2023,53
Avdiivska,Explosions/Remote violence,2024,7
Baherivska,Explosions/Remote violence,2023,0
Bakhchysaraiska,Explosions/Remote violence,2022,0
