"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Live animals",101,"Horses",10101,"Animal Products",1,3632516,2021
"Live animals",101,"Bovine",10102,"Animal Products",1,17237724,2021
"Live animals",101,"Pigs",10103,"Animal Products",1,8481082.999999998,2021
"Live animals",101,"Sheep and Goats",10104,"Animal Products",1,2874641,2021
"Live animals",101,"Poultry",10105,"Animal Products",1,15516346,2021
"Live animals",101,"Other Animals",10106,"Animal Products",1,10480721,2021
"Meat & edible offal",102,"Bovine Meat",10201,"Animal Products",1,22331033,2021
"Meat & edible offal",102,"Frozen Bovine Meat",10202,"Animal Products",1,199249240,2021
"Meat & edible offal",102,"Pig Meat",10203,"Animal Products",1,318462880,2021
"Meat & edible offal",102,"Sheep and Goat Meat",10204,"Animal Products",1,2692613,2021
"Meat & edible offal",102,"Horse Meat",10205,"Animal Products",1,554296,2021
"Meat & edible offal",102,"Edible Offal",10206,"Animal Products",1,68652519,2021
"Meat & edible offal",102,"Poultry Meat",10207,"Animal Products",1,541250375,2021
"Meat & edible offal",102,"Other Meat",10208,"Animal Products",1,2766511,2021
"Meat & edible offal",102,"Animal Fat",10209,"Animal Products",1,13185420,2021
"Meat & edible offal",102,"Preserved Meat",10210,"Animal Products",1,804125,2021
"Fish, Crustaceans & Molluscs",103,"Live Fish",10301,"Animal Products",1,1091604,2021
"Fish, Crustaceans & Molluscs",103,"Non-fillet Fresh Fish",10302,"Animal Products",1,10956872,2021
"Fish, Crustaceans & Molluscs",103,"Non-fillet Frozen Fish",10303,"Animal Products",1,2461540314,2021
"Fish, Crustaceans & Molluscs",103,"Fish Fillets",10304,"Animal Products",1,741711060,2021
"Fish, Crustaceans & Molluscs",103,"Dried/Salted/Smoked/Brined Fish",10305,"Animal Products",1,47359485,2021
"Fish, Crustaceans & Molluscs",103,"Crustaceans",10306,"Animal Products",1,3817574244,2021
"Fish, Crustaceans & Molluscs",103,"Molluscs",10307,"Animal Products",1,115343260,2021
"Fish, Crustaceans & Molluscs",103,"Aquatic invertebrates, other than crustaceans and molluscs",10308,"Animal Products",1,41876054,2021
"Edible products of animal origin, n.e.s.",104,"Milk",10401,"Animal Products",1,35308744,2021
"Edible products of animal origin, n.e.s.",104,"Concentrated Milk",10402,"Animal Products",1,29046591,2021
"Edible products of animal origin, n.e.s.",104,"Fermented Milk Products",10403,"Animal Products",1,92561585,2021
"Edible products of animal origin, n.e.s.",104,"Whey and other milk products",10404,"Animal Products",1,23780052,2021
"Edible products of animal origin, n.e.s.",104,"Butter",10405,"Animal Products",1,16624046,2021
"Edible products of animal origin, n.e.s.",104,"Cheese",10406,"Animal Products",1,124454854,2021
"Edible products of animal origin, n.e.s.",104,"Eggs",10407,"Animal Products",1,44113974,2021
"Edible products of animal origin, n.e.s.",104,"Processed Egg Products",10408,"Animal Products",1,3946914,2021
"Edible products of animal origin, n.e.s.",104,"Honey",10409,"Animal Products",1,6939406,2021
"Edible products of animal origin, n.e.s.",104,"Other Edible Animal Products",10410,"Animal Products",1,158427,2021
"Animal originated products, n.e.s.",105,"Human Hair",10501,"Animal Products",1,34663,2021
"Animal originated products, n.e.s.",105,"Pig Hair",10502,"Animal Products",1,39582,2021
"Animal originated products, n.e.s.",105,"Animal Organs",10504,"Animal Products",1,29224194,2021
"Animal originated products, n.e.s.",105,"Bird Feathers and Skins",10505,"Animal Products",1,32117079,2021
"Animal originated products, n.e.s.",105,"Processed Bones",10506,"Animal Products",1,52012,2021
"Animal originated products, n.e.s.",105,"Raw Bones",10507,"Animal Products",1,10077783,2021
"Animal originated products, n.e.s.",105,"Coral and Shells",10508,"Animal Products",1,383668,2021
"Animal originated products, n.e.s.",105,"Pharmaceutical Animal Products",10510,"Animal Products",1,17401141,2021
"Animal originated products, n.e.s.",105,"Other Inedible Animal Products",10511,"Animal Products",1,37380321,2021
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Bulbs and Roots",20601,"Vegetable Products",2,553107,2021
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Other live plants, cuttings and slips;
mushroom spawn",20602,"Vegetable Products",2,3379570,2021
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Cut Flowers",20603,"Vegetable Products",2,1267905,2021
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Plant foliage",20604,"Vegetable Products",2,1416499,2021
"Edible vegetables, roots, & tubers",207,"Potatoes",20701,"Vegetable Products",2,19800559,2021
"Edible vegetables, roots, & tubers",207,"Tomatoes",20702,"Vegetable Products",2,9338027,2021
"Edible vegetables, roots, & tubers",207,"Onions",20703,"Vegetable Products",2,8734027,2021
"Edible vegetables, roots, & tubers",207,"Cabbages",20704,"Vegetable Products",2,2705186,2021
"Edible vegetables, roots, & tubers",207,"Lettuce",20705,"Vegetable Products",2,548277,2021
"Edible vegetables, roots, & tubers",207,"Root Vegetables",20706,"Vegetable Products",2,4379248,2021
"Edible vegetables, roots, & tubers",207,"Cucumbers",20707,"Vegetable Products",2,24954621,2021
"Edible vegetables, roots, & tubers",207,"Legumes",20708,"Vegetable Products",2,360390,2021
"Edible vegetables, roots, & tubers",207,"Other Vegetables",20709,"Vegetable Products",2,33668780,2021
"Edible vegetables, roots, & tubers",207,"Frozen Vegetables",20710,"Vegetable Products",2,11022315,2021
"Edible vegetables, roots, & tubers",207,"Preserved Vegetables",20711,"Vegetable Products",2,6107841,2021
"Edible vegetables, roots, & tubers",207,"Dried Vegetables",20712,"Vegetable Products",2,13862011,2021
"Edible vegetables, roots, & tubers",207,"Dried Legumes",20713,"Vegetable Products",2,749672483,2021
"Edible vegetables, roots, & tubers",207,"Cassava",20714,"Vegetable Products",2,192140,2021
"Edible fruits, nuts & fruit peels",208,"Coconuts, Brazil Nuts, and Cashews",20801,"Vegetable Products",2,5000634,2021
"Edible fruits, nuts & fruit peels",208,"Other Nuts",20802,"Vegetable Products",2,47045814,2021
"Edible fruits, nuts & fruit peels",208,"Bananas",20803,"Vegetable Products",2,45318487,2021
"Edible fruits, nuts & fruit peels",208,"Tropical Fruits",20804,"Vegetable Products",2,3248772,2021
"Edible fruits, nuts & fruit peels",208,"Citrus",20805,"Vegetable Products",2,12231751,2021
"Edible fruits, nuts & fruit peels",208,"Grapes",20806,"Vegetable Products",2,4638380,2021
"Edible fruits, nuts & fruit peels",208,"Melons",20807,"Vegetable Products",2,4811330,2021
"Edible fruits, nuts & fruit peels",208,"Apples and Pears",20808,"Vegetable Products",2,5924278,2021
"Edible fruits, nuts & fruit peels",208,"Pitted Fruits",20809,"Vegetable Products",2,1690292,2021
"Edible fruits, nuts & fruit peels",208,"Other Fruits",20810,"Vegetable Products",2,3461774,2021
"Edible fruits, nuts & fruit peels",208,"Frozen Fruits and Nuts",20811,"Vegetable Products",2,34699649,2021
"Edible fruits, nuts & fruit peels",208,"Preserved Fruits and Nuts",20812,"Vegetable Products",2,14524,2021
"Edible fruits, nuts & fruit peels",208,"Dried Fruits",20813,"Vegetable Products",2,3559511,2021
"Edible fruits, nuts & fruit peels",208,"Citrus and Melon Peels",20814,"Vegetable Products",2,39599,2021
"Coffee, tea, mate & spices",209,"Coffee",20901,"Vegetable Products",2,63604758,2021
"Coffee, tea, mate & spices",209,"Tea",20902,"Vegetable Products",2,121558925,2021
"Coffee, tea, mate & spices",209,"Mate",20903,"Vegetable Products",2,233658.99999999997,2021
"Coffee, tea, mate & spices",209,"Pepper",20904,"Vegetable Products",2,7632499,2021
"Coffee, tea, mate & spices",209,"Vanilla",20905,"Vegetable Products",2,67094,2021
"Coffee, tea, mate & spices",209,"Cinnamon",20906,"Vegetable Products",2,545792,2021
"Coffee, tea, mate & spices",209,"Cloves",20907,"Vegetable Products",2,373638,2021
"Coffee, tea, mate & spices",209,"Nutmeg, mace and cardamons",20908,"Vegetable Products",2,193489,2021
"Coffee, tea, mate & spices",209,"Spice Seeds",20909,"Vegetable Products",2,37819954,2021
"Coffee, tea, mate & spices",209,"Spices",20910,"Vegetable Products",2,6627695,2021
"Cereals",210,"Wheat",21001,"Vegetable Products",2,8838409160,2021
"Cereals",210,"Rye",21002,"Vegetable Products",2,20996580,2021
"Cereals",210,"Barley",21003,"Vegetable Products",2,1034528533,2021
"Cereals",210,"Oats",21004,"Vegetable Products",2,49129569,2021
"Cereals",210,"Corn",21005,"Vegetable Products",2,845591026,2021
