"Continent","Continent ID","Country","Country ID","ISO 3","Trade Value","Year"
"Africa","af","Egypt","afegy","egy",4957671099,2023
"Africa","af","Morocco","afmar","mar",895864310,2023
"Africa","af","Tunisia","aftun","tun",2117546472,2023
"Africa","af","Ethiopia","afeth","eth",18780666,2023
"Africa","af","Kenya","afken","ken",590394497,2023
"Africa","af","Madagascar","afmdg","mdg",419901,2023
"Africa","af","Mozambique","afmoz","moz",144029000,2023
"Africa","af","Mauritius","afmus","mus",689423,2023
"Africa","af","Malawi","afmwi","mwi",37475686,2023
"Africa","af","Seychelles","afsyc","syc",401487,2023
"Africa","af","Tanzania","aftza","tza",384388429,2023
"Africa","af","Uganda","afuga","uga",201856744,2023
"Africa","af","Angola","afago","ago",89108181,2023
"Africa","af","Central African Republic","afcaf","caf",661009,2023
"Africa","af","Gabon","afgab","gab",5179964,2023
"Africa","af","Botswana","afbwa","bwa",145642,2023
"Africa","af","Namibia","afnam","nam",33096829,2023
"Africa","af","Eswatini","afswz","swz",1270387,2023
"Africa","af","South Africa","afzaf","zaf",522779056,2023
"Africa","af","Zambia","afzmb","zmb",33675109,2023
"Africa","af","Zimbabwe","afzwe","zwe",172327016,2023
"Africa","af","Benin","afben","ben",70752050,2023
"Africa","af","Burkina Faso","afbfa","bfa",523904793,2023
"Africa","af","Cote d'Ivoire","afciv","civ",499079181,2023
"Africa","af","Cape Verde","afcpv","cpv",50082,2023
"Africa","af","Ghana","afgha","gha",1051877125,2023
"Africa","af","Gambia","afgmb","gmb",11531169,2023
"Africa","af","Liberia","aflbr","lbr",1668444,2023
"Africa","af","Mauritania","afmrt","mrt",3875011,2023
"Africa","af","Niger","afner","ner",12754088.999999998,2023
"Africa","af","Nigeria","afnga","nga",1508224692,2023
"Africa","af","Senegal","afsen","sen",828440503,2023
"Africa","af","Togo","aftgo","tgo",15742379.000000002,2023
"Asia","as","Kazakhstan","askaz","kaz",16140036041,2023
"Asia","as","Kyrgyzstan","askgz","kgz",2176322185,2023
"Asia","as","Uzbekistan","asuzb","uzb",6540923765,2023
"Asia","as","China","aschn","chn",129002538475,2023
"Asia","as","Hong Kong","ashkg","hkg",8260043897,2023
"Asia","as","Japan","asjpn","jpn",7365517734,2023
"Asia","as","Macau","asmac","mac",5880999,2023
"Asia","as","Chinese Taipei","astwn","twn",4282941413,2023
"Asia","as","Brunei","asbrn","brn",239932500,2023
"Asia","as","Indonesia","asidn","idn",2433798069,2023
"Asia","as","Cambodia","askhm","khm",23100753,2023
"Asia","as","Burma","asmmr","mmr",24984067,2023
"Asia","as","Malaysia","asmys","mys",2490451579,2023
"Asia","as","Philippines","asphl","phl",166720563,2023
"Asia","as","Singapore","assgp","sgp",3546788094,2023
"Asia","as","Thailand","astha","tha",686756157,2023
"Asia","as","India","asind","ind",66149331880.99999,2023
"Asia","as","Sri Lanka","aslka","lka",395039373.99999994,2023
"Asia","as","Maldives","asmdv","mdv",195822,2023
"Asia","as","Pakistan","aspak","pak",885593269,2023
"Asia","as","United Arab Emirates","asare","are",6447135576,2023
"Asia","as","Armenia","asarm","arm",3879597234,2023
"Asia","as","Azerbaijan","asaze","aze",3155709273,2023
"Asia","as","Bahrain","asbhr","bhr",8559128,2023
"Asia","as","Georgia","asgeo","geo",1744449569,2023
"Asia","as","Israel","asisr","isr",2050656945,2023
"Asia","as","Jordan","asjor","jor",204593663,2023
"Asia","as","Kuwait","askwt","kwt",59582273,2023
"Asia","as","Lebanon","aslbn","lbn",586260144.9999999,2023
"Asia","as","Oman","asomn","omn",490003360,2023
"Asia","as","Qatar","asqat","qat",10929644,2023
"Asia","as","Saudi Arabia","assau","sau",3701954752,2023
"Asia","as","Turkey","astur","tur",30978941787,2023
"Europe","eu","Cyprus","ascyp","cyp",18324172,2023
"Europe","eu","Bulgaria","eubgr","bgr",3507514302,2023
"Europe","eu","Czechia","eucze","cze",3468417667,2023
"Europe","eu","Hungary","euhun","hun",6187518647,2023
"Europe","eu","Moldova","eumda","mda",321637208,2023
"Europe","eu","Poland","eupol","pol",2588048200,2023
"Europe","eu","Romania","eurou","rou",349097993,2023
"Europe","eu","Slovakia","eusvk","svk",4943722035,2023
"Europe","eu","Ukraine","euukr","ukr",4557753,2023
"Europe","eu","Denmark","eudnk","dnk",346906086.00000006,2023
"Europe","eu","Estonia","euest","est",194367708,2023
"Europe","eu","Finland","eufin","fin",1284678018,2023
"Europe","eu","United Kingdom","eugbr","gbr",342974953,2023
"Europe","eu","Ireland","euirl","irl",79207927,2023
"Europe","eu","Iceland","euisl","isl",4279030,2023
"Europe","eu","Lithuania","eultu","ltu",356724162,2023
"Europe","eu","Latvia","eulva","lva",655964187,2023
"Europe","eu","Norway","eunor","nor",287713122,2023
"Europe","eu","Sweden","euswe","swe",46279270,2023
"Europe","eu","Albania","eualb","alb",35619404,2023
"Europe","eu","Andorra","euand","and",26515,2023
"Europe","eu","Bosnia and Herzegovina","eubih","bih",255722166,2023
"Europe","eu","Spain","euesp","esp",3380027859,2023
"Europe","eu","Greece","eugrc","grc",2644653509,2023
"Europe","eu","Croatia","euhrv","hrv",63271094,2023
"Europe","eu","Italy","euita","ita",4379684623,2023
"Europe","eu","North Macedonia","eumkd","mkd",265340934,2023
"Europe","eu","Malta","eumlt","mlt",1103701,2023
"Europe","eu","Montenegro","eumne","mne",8088374.000000001,2023
"Europe","eu","Portugal","euprt","prt",361367327,2023
"Europe","eu","Serbia","eusrb","srb",1694784474,2023
"Europe","eu","Slovenia","eusvn","svn",258125417,2023
"Europe","eu","Austria","euaut","aut",264177617,2023
"Europe","eu","Belgium","eubel","bel",3725612491,2023
"Europe","eu","Switzerland","euche","che",3968177667.9999995,2023
"Europe","eu","Germany","eudeu","deu",3927507548,2023
"Europe","eu","France","eufra","fra",3646111716,2023
"Europe","eu","Luxembourg","eulux","lux",24526095,2023
"Europe","eu","Netherlands","eunld","nld",3030884531,2023
"North America","na","Bahamas","nabhs","bhs",812,2023
"North America","na","Barbados","nabrb","brb",431,2023
"North America","na","Dominica","nadma","dma",541,2023
"North America","na","Dominican Republic","nadom","dom",53072719,2023
"North America","na","Jamaica","najam","jam",100520641,2023
"North America","na","Saint Vincent and the Grenadines","navct","vct",740.0000000000001,2023
"North America","na","Belize","nablz","blz",140875,2023
"North America","na","Costa Rica","nacri","cri",60362888.99999999,2023
"North America","na","Guatemala","nagtm","gtm",144935880,2023
"North America","na","Honduras","nahnd","hnd",191305216,2023
"North America","na","Mexico","namex","mex",504538599,2023
"North America","na","Nicaragua","nanic","nic",105299730,2023
"North America","na","Panama","napan","pan",25095488,2023
"North America","na","El Salvador","naslv","slv",45292981,2023
"North America","na","Canada","nacan","can",51894039,2023
"North America","na","United States","nausa","usa",4872581814,2023
"Oceania","oc","Australia","ocaus","aus",8607378,2023
"Oceania","oc","New Zealand","ocnzl","nzl",1299510,2023
"Oceania","oc","Fiji","ocfji","fji",324,2023
"South America","sa","Argentina","saarg","arg",139817268,2023
"South America","sa","Bolivia","sabol","bol",55493939,2023
"South America","sa","Brazil","sabra","bra",11134261884,2023
"South America","sa","Chile","sachl","chl",49145776,2023
"South America","sa","Colombia","sacol","col",325758291,2023
"South America","sa","Ecuador","saecu","ecu",157115177,2023
"South America","sa","Guyana","saguy","guy",50981,2023
"South America","sa","Peru","saper","per",331188720,2023
"South America","sa","Paraguay","sapry","pry",76072152,2023
"South America","sa","Uruguay","saury","ury",27868347,2023
