"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Live animals",101,"Horses",10101,"Animal Products",1,770517,2023
"Live animals",101,"Bovine",10102,"Animal Products",1,65426795,2023
"Live animals",101,"Sheep and Goats",10104,"Animal Products",1,4743176,2023
"Live animals",101,"Other Animals",10106,"Animal Products",1,1934091,2023
"Meat & edible offal",102,"Bovine Meat",10201,"Animal Products",1,1000365.9999999999,2023
"Meat & edible offal",102,"Frozen Bovine Meat",10202,"Animal Products",1,85467884,2023
"Meat & edible offal",102,"Pig Meat",10203,"Animal Products",1,2718124,2023
"Meat & edible offal",102,"Sheep and Goat Meat",10204,"Animal Products",1,931756,2023
"Meat & edible offal",102,"Edible Offal",10206,"Animal Products",1,1838416,2023
"Meat & edible offal",102,"Poultry Meat",10207,"Animal Products",1,815257918,2023
"Meat & edible offal",102,"Other Meat",10208,"Animal Products",1,1158,2023
"Meat & edible offal",102,"Animal Fat",10209,"Animal Products",1,18568,2023
"Meat & edible offal",102,"Preserved Meat",10210,"Animal Products",1,1275315,2023
"Fish, Crustaceans & Molluscs",103,"Live Fish",10301,"Animal Products",1,1470033,2023
"Fish, Crustaceans & Molluscs",103,"Non-fillet Fresh Fish",10302,"Animal Products",1,287164,2023
"Fish, Crustaceans & Molluscs",103,"Non-fillet Frozen Fish",10303,"Animal Products",1,10151208,2023
"Fish, Crustaceans & Molluscs",103,"Fish Fillets",10304,"Animal Products",1,17438889,2023
"Fish, Crustaceans & Molluscs",103,"Dried/Salted/Smoked/Brined Fish",10305,"Animal Products",1,7129616,2023
"Fish, Crustaceans & Molluscs",103,"Crustaceans",10306,"Animal Products",1,124799,2023
"Fish, Crustaceans & Molluscs",103,"Molluscs",10307,"Animal Products",1,5673856,2023
"Fish, Crustaceans & Molluscs",103,"Aquatic invertebrates, other than crustaceans and molluscs",10308,"Animal Products",1,36.00000000000001,2023
"Edible products of animal origin, n.e.s.",104,"Milk",10401,"Animal Products",1,16605649.999999998,2023
"Edible products of animal origin, n.e.s.",104,"Concentrated Milk",10402,"Animal Products",1,69817224,2023
"Edible products of animal origin, n.e.s.",104,"Fermented Milk Products",10403,"Animal Products",1,4174061.9999999995,2023
"Edible products of animal origin, n.e.s.",104,"Whey and other milk products",10404,"Animal Products",1,15358828,2023
"Edible products of animal origin, n.e.s.",104,"Butter",10405,"Animal Products",1,42729241,2023
"Edible products of animal origin, n.e.s.",104,"Cheese",10406,"Animal Products",1,40182644,2023
"Edible products of animal origin, n.e.s.",104,"Eggs",10407,"Animal Products",1,60885563,2023
"Edible products of animal origin, n.e.s.",104,"Processed Egg Products",10408,"Animal Products",1,40342153,2023
"Edible products of animal origin, n.e.s.",104,"Honey",10409,"Animal Products",1,129137242,2023
"Edible products of animal origin, n.e.s.",104,"Other Edible Animal Products",10410,"Animal Products",1,21005,2023
"Animal originated products, n.e.s.",105,"Human Hair",10501,"Animal Products",1,180100,2023
"Animal originated products, n.e.s.",105,"Animal Organs",10504,"Animal Products",1,6232846,2023
"Animal originated products, n.e.s.",105,"Bird Feathers and Skins",10505,"Animal Products",1,9758154,2023
"Animal originated products, n.e.s.",105,"Processed Bones",10506,"Animal Products",1,55500,2023
"Animal originated products, n.e.s.",105,"Raw Bones",10507,"Animal Products",1,118632,2023
"Animal originated products, n.e.s.",105,"Coral and Shells",10508,"Animal Products",1,753946,2023
"Animal originated products, n.e.s.",105,"Other Inedible Animal Products",10511,"Animal Products",1,1056420,2023
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Bulbs and Roots",20601,"Vegetable Products",2,125,2023
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Other live plants, cuttings and slips;
mushroom spawn",20602,"Vegetable Products",2,1910832,2023
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Cut Flowers",20603,"Vegetable Products",2,828238,2023
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Plant foliage",20604,"Vegetable Products",2,1436946,2023
"Edible vegetables, roots, & tubers",207,"Potatoes",20701,"Vegetable Products",2,5793746.999999999,2023
"Edible vegetables, roots, & tubers",207,"Tomatoes",20702,"Vegetable Products",2,1822400,2023
"Edible vegetables, roots, & tubers",207,"Onions",20703,"Vegetable Products",2,638532,2023
"Edible vegetables, roots, & tubers",207,"Cabbages",20704,"Vegetable Products",2,50626,2023
"Edible vegetables, roots, & tubers",207,"Lettuce",20705,"Vegetable Products",2,4142,2023
"Edible vegetables, roots, & tubers",207,"Root Vegetables",20706,"Vegetable Products",2,329333,2023
"Edible vegetables, roots, & tubers",207,"Cucumbers",20707,"Vegetable Products",2,2485856,2023
"Edible vegetables, roots, & tubers",207,"Legumes",20708,"Vegetable Products",2,391041,2023
"Edible vegetables, roots, & tubers",207,"Other Vegetables",20709,"Vegetable Products",2,5520329,2023
"Edible vegetables, roots, & tubers",207,"Frozen Vegetables",20710,"Vegetable Products",2,10014804,2023
"Edible vegetables, roots, & tubers",207,"Preserved Vegetables",20711,"Vegetable Products",2,895287,2023
"Edible vegetables, roots, & tubers",207,"Dried Vegetables",20712,"Vegetable Products",2,887522,2023
"Edible vegetables, roots, & tubers",207,"Dried Legumes",20713,"Vegetable Products",2,114380907,2023
"Edible vegetables, roots, & tubers",207,"Cassava",20714,"Vegetable Products",2,105,2023
"Edible fruits, nuts & fruit peels",208,"Coconuts, Brazil Nuts, and Cashews",20801,"Vegetable Products",2,248040,2023
"Edible fruits, nuts & fruit peels",208,"Other Nuts",20802,"Vegetable Products",2,81523479,2023
"Edible fruits, nuts & fruit peels",208,"Bananas",20803,"Vegetable Products",2,3001740,2023
"Edible fruits, nuts & fruit peels",208,"Tropical Fruits",20804,"Vegetable Products",2,767825,2023
"Edible fruits, nuts & fruit peels",208,"Citrus",20805,"Vegetable Products",2,1865790,2023
"Edible fruits, nuts & fruit peels",208,"Grapes",20806,"Vegetable Products",2,29719,2023
"Edible fruits, nuts & fruit peels",208,"Melons",20807,"Vegetable Products",2,26891,2023
"Edible fruits, nuts & fruit peels",208,"Apples and Pears",20808,"Vegetable Products",2,19024891,2023
"Edible fruits, nuts & fruit peels",208,"Pitted Fruits",20809,"Vegetable Products",2,386713,2023
"Edible fruits, nuts & fruit peels",208,"Other Fruits",20810,"Vegetable Products",2,20517450,2023
"Edible fruits, nuts & fruit peels",208,"Frozen Fruits and Nuts",20811,"Vegetable Products",2,140323799,2023
"Edible fruits, nuts & fruit peels",208,"Preserved Fruits and Nuts",20812,"Vegetable Products",2,36.00000000000001,2023
