"Continent","Continent ID","Country","Country ID","ISO 3","Trade Value","Year"
"Africa","af","Algeria","afdza","dza",69190225,2023
"Africa","af","Egypt","afegy","egy",193349375,2023
"Africa","af","Libya","aflby","lby",93402.99999999999,2023
"Africa","af","Morocco","afmar","mar",99235011,2023
"Africa","af","Sudan","afsdn","sdn",18.000000000000004,2023
"Africa","af","Tunisia","aftun","tun",25708039,2023
"Africa","af","Burundi","afbdi","bdi",495511.99999999994,2023
"Africa","af","Comoros","afcom","com",52836,2023
"Africa","af","Djibouti","afdji","dji",17572,2023
"Africa","af","Eritrea","aferi","eri",71091,2023
"Africa","af","Ethiopia","afeth","eth",8622242,2023
"Africa","af","Kenya","afken","ken",5798125,2023
"Africa","af","Madagascar","afmdg","mdg",1530763,2023
"Africa","af","Mozambique","afmoz","moz",2867692,2023
"Africa","af","Mauritius","afmus","mus",474563,2023
"Africa","af","Malawi","afmwi","mwi",15720793.000000002,2023
"Africa","af","Rwanda","afrwa","rwa",2210619,2023
"Africa","af","Somalia","afsom","som",544045,2023
"Africa","af","South Sudan","afssd","ssd",58243,2023
"Africa","af","Seychelles","afsyc","syc",69354,2023
"Africa","af","Tanzania","aftza","tza",3966031,2023
"Africa","af","Uganda","afuga","uga",7596435,2023
"Africa","af","Angola","afago","ago",27857,2023
"Africa","af","Central African Republic","afcaf","caf",45495,2023
"Africa","af","Cameroon","afcmr","cmr",1891363,2023
"Africa","af","Democratic Republic of the Congo","afcod","cod",4297072,2023
"Africa","af","Republic of the Congo","afcog","cog",162685,2023
"Africa","af","Gabon","afgab","gab",609021,2023
"Africa","af","Equatorial Guinea","afgnq","gnq",303457,2023
"Africa","af","Chad","aftcd","tcd",415,2023
"Africa","af","Botswana","afbwa","bwa",1129206.9999999998,2023
"Africa","af","Lesotho","aflso","lso",26097,2023
"Africa","af","Namibia","afnam","nam",159484,2023
"Africa","af","Eswatini","afswz","swz",241024,2023
"Africa","af","South Africa","afzaf","zaf",104331195,2023
"Africa","af","Zambia","afzmb","zmb",2682777,2023
"Africa","af","Zimbabwe","afzwe","zwe",7053468,2023
"Africa","af","Benin","afben","ben",98790,2023
"Africa","af","Burkina Faso","afbfa","bfa",839501,2023
"Africa","af","Cote d'Ivoire","afciv","civ",93405289,2023
"Africa","af","Cape Verde","afcpv","cpv",1571,2023
"Africa","af","Ghana","afgha","gha",21170502,2023
"Africa","af","Guinea","afgin","gin",288575,2023
"Africa","af","Gambia","afgmb","gmb",1222,2023
"Africa","af","GuineaBissau","afgnb","gnb",252028,2023
"Africa","af","Liberia","aflbr","lbr",223525,2023
"Africa","af","Mali","afmli","mli",4467930,2023
"Africa","af","Mauritania","afmrt","mrt",7722581,2023
"Africa","af","Niger","afner","ner",11818.000000000002,2023
"Africa","af","Nigeria","afnga","nga",8648063,2023
"Africa","af","Senegal","afsen","sen",4131986,2023
"Africa","af","Saint Helena","afshn","shn",15247,2023
"Africa","af","Sierra Leone","afsle","sle",428842,2023
"Africa","af","Togo","aftgo","tgo",11402.999999999998,2023
"Asia","as","Kazakhstan","askaz","kaz",188054227,2023
"Asia","as","Kyrgyzstan","askgz","kgz",1849321,2023
"Asia","as","Tajikistan","astjk","tjk",855466,2023
"Asia","as","Turkmenistan","astkm","tkm",227352893.99999997,2023
"Asia","as","Uzbekistan","asuzb","uzb",148480159,2023
"Asia","as","China","aschn","chn",8136120206,2023
"Asia","as","Hong Kong","ashkg","hkg",57798286,2023
"Asia","as","Japan","asjpn","jpn",755191496,2023
"Asia","as","South Korea","askor","kor",660481059,2023
"Asia","as","Macau","asmac","mac",19152,2023
"Asia","as","Mongolia","asmng","mng",58588.99999999999,2023
"Asia","as","North Korea","asprk","prk",27892.000000000004,2023
"Asia","as","Chinese Taipei","astwn","twn",235154577,2023
"Asia","as","Brunei","asbrn","brn",7242,2023
"Asia","as","Cocos (Keeling) Islands","ascck","cck",18.000000000000004,2023
"Asia","as","Christmas Island","ascxr","cxr",173.00000000000003,2023
"Asia","as","Indonesia","asidn","idn",191490509,2023
