REPORTER_LAB,PARTNER_LAB,PRODUCT_LAB,FLOW_LAB,STAT_PROCEDURE_LAB,PERIOD_LAB,INDICATORS_LAB,INDICATOR_VALUE
"Austria","Ukraine","Petroleum oils and oils obtained from bituminous minerals (excl. crude); preparations containing >= 70% by weight of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, n.e.s.; waste oils containing mainly petroleum or bituminous minerals","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",105076
"Austria","Ukraine","Coal; briquettes, ovoids and similar solid fuels manufactured from coal","IMPORT","Normal","Jan.-Dec. 2023","VALUE_IN_EUR",8584475
"Austria","Ukraine","Coal; briquettes, ovoids and similar solid fuels manufactured from coal","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",24
"Austria","Ukraine","IRON AND STEEL","IMPORT","Normal","Jan.-Dec. 2023","VALUE_IN_EUR",1247827
"Austria","Ukraine","IRON AND STEEL","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",11321048
"Austria","Ukraine","NATURAL OR CULTURED PEARLS, PRECIOUS OR SEMI-PRECIOUS STONES, PRECIOUS METALS, METALS CLAD WITH PRECIOUS METAL, AND ARTICLES THEREOF; IMITATION JEWELLERY; COIN","IMPORT","Normal","Jan.-Dec. 2023","VALUE_IN_EUR",120081
"Austria","Ukraine","NATURAL OR CULTURED PEARLS, PRECIOUS OR SEMI-PRECIOUS STONES, PRECIOUS METALS, METALS CLAD WITH PRECIOUS METAL, AND ARTICLES THEREOF; IMITATION JEWELLERY; COIN","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",45309
"Austria","Ukraine","NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF","IMPORT","Normal","Jan.-Dec. 2023","VALUE_IN_EUR",6718134
"Austria","Ukraine","NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",6766736
"Austria","Ukraine","ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS, AND PARTS AND ACCESSORIES OF SUCH ARTICLES","IMPORT","Normal","Jan.-Dec. 2023","VALUE_IN_EUR",33083857
"Austria","Ukraine","ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS, AND PARTS AND ACCESSORIES OF SUCH ARTICLES","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",21145814
"Austria","Ukraine","FERTILISERS","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",1507769
"Austria","Ukraine","INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OF RADIOACTIVE ELEMENTS OR OF ISOTOPES","IMPORT","Normal","Jan.-Dec. 2023","VALUE_IN_EUR",2715720
"Austria","Ukraine","INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OF RADIOACTIVE ELEMENTS OR OF ISOTOPES","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",4619828
"Austria","Ukraine","ORGANIC CHEMICALS","IMPORT","Normal","Jan.-Dec. 2023","VALUE_IN_EUR",11434
"Austria","Ukraine","ORGANIC CHEMICALS","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",1300678
"Austria","Ukraine","CEREALS","IMPORT","Normal","Jan.-Dec. 2023","VALUE_IN_EUR",49999533
"Austria","Ukraine","CEREALS","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",1592435
"Austria","Ukraine","OIL SEEDS AND OLEAGINOUS FRUITS; MISCELLANEOUS GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER","IMPORT","Normal","Jan.-Dec. 2023","VALUE_IN_EUR",30391174
"Austria","Ukraine","OIL SEEDS AND OLEAGINOUS FRUITS; MISCELLANEOUS GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",13223978
"Austria","Ukraine","Sunflower-seed, safflower or cotton-seed oil and fractions thereof, whether or not refined, but not chemically modified","IMPORT","Normal","Jan.-Dec. 2023","VALUE_IN_EUR",16137056
"Austria","Ukraine","Sunflower-seed, safflower or cotton-seed oil and fractions thereof, whether or not refined, but not chemically modified","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",5666209
"Austria","Ukraine","ORES, SLAG AND ASH","IMPORT","Normal","Jan.-Dec. 2023","VALUE_IN_EUR",283713900
"Austria","Ukraine","ORES, SLAG AND ASH","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",550073499
"Austria","Ukraine","WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL","IMPORT","Normal","Jan.-Dec. 2023","VALUE_IN_EUR",48323454
"Austria","Ukraine","WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",92943349
"Austria","Ukraine","Total","IMPORT","Normal","Jan.-Dec. 2023","VALUE_IN_EUR",658881197
"Austria","Ukraine","Total","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",855201141
"Austria","Russian Federation (Russia)","Petroleum oils and oils obtained from bituminous minerals, crude","IMPORT","Normal","Jan.-Dec. 2023","VALUE_IN_EUR",5591092
"Austria","Russian Federation (Russia)","Petroleum oils and oils obtained from bituminous minerals, crude","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",256785895
"Austria","Russian Federation (Russia)","Petroleum oils and oils obtained from bituminous minerals (excl. crude); preparations containing >= 70% by weight of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, n.e.s.; waste oils containing mainly petroleum or bituminous minerals","IMPORT","Normal","Jan.-Dec. 2023","VALUE_IN_EUR",3873504
"Austria","Russian Federation (Russia)","Petroleum oils and oils obtained from bituminous minerals (excl. crude); preparations containing >= 70% by weight of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, n.e.s.; waste oils containing mainly petroleum or bituminous minerals","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",71624679
"Austria","Russian Federation (Russia)","Coal; briquettes, ovoids and similar solid fuels manufactured from coal","IMPORT","Normal","Jan.-Dec. 2023","VALUE_IN_EUR",314402
"Austria","Russian Federation (Russia)","Coal; briquettes, ovoids and similar solid fuels manufactured from coal","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",22576152
"Austria","Russian Federation (Russia)","IRON AND STEEL","IMPORT","Normal","Jan.-Dec. 2023","VALUE_IN_EUR",3821
"Austria","Russian Federation (Russia)","IRON AND STEEL","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",7072624
"Austria","Russian Federation (Russia)","NATURAL OR CULTURED PEARLS, PRECIOUS OR SEMI-PRECIOUS STONES, PRECIOUS METALS, METALS CLAD WITH PRECIOUS METAL, AND ARTICLES THEREOF; IMITATION JEWELLERY; COIN","IMPORT","Normal","Jan.-Dec. 2023","VALUE_IN_EUR",10534
"Austria","Russian Federation (Russia)","NATURAL OR CULTURED PEARLS, PRECIOUS OR SEMI-PRECIOUS STONES, PRECIOUS METALS, METALS CLAD WITH PRECIOUS METAL, AND ARTICLES THEREOF; IMITATION JEWELLERY; COIN","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",181006
"Austria","Russian Federation (Russia)","NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF","IMPORT","Normal","Jan.-Dec. 2023","VALUE_IN_EUR",166244
"Austria","Russian Federation (Russia)","NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",22445194
"Austria","Russian Federation (Russia)","ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS, AND PARTS AND ACCESSORIES OF SUCH ARTICLES","IMPORT","Normal","Jan.-Dec. 2023","VALUE_IN_EUR",92539
"Austria","Russian Federation (Russia)","ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS, AND PARTS AND ACCESSORIES OF SUCH ARTICLES","IMPORT","Normal","Jan.-Dec. 2021","VALUE_IN_EUR",2768580
