REPORTER_LAB,PARTNER_LAB,PRODUCT,PERIOD_LAB,INDICATOR_VALUE
Austria,Ukraine,TOTAL,2023,671830742
Austria,Ukraine,TOTAL,2021,873567037
Austria,Russia,TOTAL,2023,3666676104
Austria,Russia,TOTAL,2021,3692264161
Austria,World,TOTAL,2023,209277541331
Austria,World,TOTAL,2021,185732274434
Belgium,Ukraine,TOTAL,2023,561705904
Belgium,Ukraine,TOTAL,2021,678391396
Belgium,Russia,TOTAL,2023,3844684383
Belgium,Russia,TOTAL,2021,7796228333
Belgium,World,TOTAL,2023,514326550122
Belgium,World,TOTAL,2021,446063530250
Bulgaria,Ukraine,TOTAL,2023,1012019990
Bulgaria,Ukraine,TOTAL,2021,835721958
Bulgaria,Russia,TOTAL,2023,3341558612
Bulgaria,Russia,TOTAL,2021,2979761876
Bulgaria,World,TOTAL,2023,49605946376
Bulgaria,World,TOTAL,2021,39128076471
Cyprus,Ukraine,TOTAL,2023,99042430
Cyprus,Ukraine,TOTAL,2021,20899212
Cyprus,Russia,TOTAL,2023,16034346
Cyprus,Russia,TOTAL,2021,85963881
Cyprus,World,TOTAL,2023,13078755357
Cyprus,World,TOTAL,2021,8797947318
Czechia,Ukraine,TOTAL,2023,1140611214
Czechia,Ukraine,TOTAL,2021,1286718984
Czechia,Russia,TOTAL,2023,2747049405
Czechia,Russia,TOTAL,2021,2979692641
Czechia,World,TOTAL,2023,214528812855
Czechia,World,TOTAL,2021,179330067192
Germany,Ukraine,TOTAL,2023,2148017802
Germany,Ukraine,TOTAL,2021,2118818729
Germany,Russia,TOTAL,2023,2353629700
Germany,Russia,TOTAL,2021,28960912656
Germany,World,TOTAL,2023,1357359094412
Germany,World,TOTAL,2021,1194375614719
Denmark,Ukraine,TOTAL,2023,213995136
Denmark,Ukraine,TOTAL,2021,202551455
Denmark,Russia,TOTAL,2023,317856442
Denmark,Russia,TOTAL,2021,1853315479
Denmark,World,TOTAL,2023,111298811426
Denmark,World,TOTAL,2021,101811230145
Estonia,Ukraine,TOTAL,2023,75693758
Estonia,Ukraine,TOTAL,2021,112028793
Estonia,Russia,TOTAL,2023,160844771
Estonia,Russia,TOTAL,2021,2109676657
Estonia,World,TOTAL,2023,21138169015
Estonia,World,TOTAL,2021,19989919873
Spain,Ukraine,TOTAL,2023,2849073436
Spain,Ukraine,TOTAL,2021,1528625020
Spain,Russia,TOTAL,2023,3093064384
Spain,Russia,TOTAL,2021,5974845768
Spain,World,TOTAL,2023,434602575003
Spain,World,TOTAL,2021,355441962053
European Union,Ukraine,TOTAL,2023,22883978314
European Union,Ukraine,TOTAL,2021,24029882069
European Union,Russia,TOTAL,2023,50791147017
European Union,Russia,TOTAL,2021,163646411184
Finland,Ukraine,TOTAL,2023,56539236
