"Continent","Continent ID","Country","Country ID","ISO 3","Trade Value","Year"
"Africa","af","Algeria","afdza","dza",1479417175,2021
"Africa","af","Egypt","afegy","egy",3823723347,2021
"Africa","af","Libya","aflby","lby",331960113,2021
"Africa","af","Morocco","afmar","mar",1338358023,2021
"Africa","af","Sudan","afsdn","sdn",304801504,2021
"Africa","af","Tunisia","aftun","tun",470358390,2021
"Africa","af","Burundi","afbdi","bdi",9210528,2021
"Africa","af","Comoros","afcom","com",52694,2021
"Africa","af","Djibouti","afdji","dji",49570478,2021
"Africa","af","Eritrea","aferi","eri",9188917,2021
"Africa","af","Ethiopia","afeth","eth",189596926,2021
"Africa","af","Kenya","afken","ken",297453648,2021
"Africa","af","Madagascar","afmdg","mdg",44815910,2021
"Africa","af","Mozambique","afmoz","moz",56097168,2021
"Africa","af","Mauritius","afmus","mus",4578491,2021
"Africa","af","Malawi","afmwi","mwi",29573462,2021
"Africa","af","Rwanda","afrwa","rwa",47765189,2021
"Africa","af","Somalia","afsom","som",14626951.999999998,2021
"Africa","af","South Sudan","afssd","ssd",6759681,2021
"Africa","af","Seychelles","afsyc","syc",3470213,2021
"Africa","af","Tanzania","aftza","tza",162928418,2021
"Africa","af","Uganda","afuga","uga",130931329,2021
"Africa","af","Angola","afago","ago",196023794,2021
"Africa","af","Central African Republic","afcaf","caf",5656609,2021
"Africa","af","Cameroon","afcmr","cmr",318892847.00000006,2021
"Africa","af","Democratic Republic of the Congo","afcod","cod",117997987.00000001,2021
"Africa","af","Republic of the Congo","afcog","cog",99893930,2021
"Africa","af","Gabon","afgab","gab",23191172,2021
"Africa","af","Equatorial Guinea","afgnq","gnq",1577327,2021
"Africa","af","Sao Tome and Principe","afstp","stp",7614,2021
"Africa","af","Chad","aftcd","tcd",2163240,2021
"Africa","af","Botswana","afbwa","bwa",173890202,2021
"Africa","af","Lesotho","aflso","lso",17211,2021
"Africa","af","Namibia","afnam","nam",38898499,2021
"Africa","af","Eswatini","afswz","swz",65053,2021
"Africa","af","South Africa","afzaf","zaf",621066231,2021
"Africa","af","Zambia","afzmb","zmb",18935128,2021
"Africa","af","Zimbabwe","afzwe","zwe",25849525,2021
"Africa","af","Benin","afben","ben",51820684,2021
"Africa","af","Burkina Faso","afbfa","bfa",69599915,2021
"Africa","af","Cote d'Ivoire","afciv","civ",149511610,2021
"Africa","af","Cape Verde","afcpv","cpv",3960259.0000000005,2021
"Africa","af","Ghana","afgha","gha",286723998,2021
"Africa","af","Guinea","afgin","gin",54392107,2021
"Africa","af","Gambia","afgmb","gmb",5714383,2021
"Africa","af","GuineaBissau","afgnb","gnb",141058,2021
"Africa","af","Liberia","aflbr","lbr",7981907,2021
"Africa","af","Mali","afmli","mli",30755167,2021
"Africa","af","Mauritania","afmrt","mrt",17399780,2021
"Africa","af","Niger","afner","ner",6829762,2021
"Africa","af","Nigeria","afnga","nga",883382554,2021
"Africa","af","Senegal","afsen","sen",1343512865,2021
"Africa","af","Sierra Leone","afsle","sle",1804744,2021
"Africa","af","Togo","aftgo","tgo",291233606,2021
"Asia","as","Kazakhstan","askaz","kaz",18624719692,2021
"Asia","as","Kyrgyzstan","askgz","kgz",2210967535,2021
"Asia","as","Tajikistan","astjk","tjk",1030911250,2021
"Asia","as","Turkmenistan","astkm","tkm",473027400,2021
"Asia","as","Uzbekistan","asuzb","uzb",5143969199,2021
"Asia","as","China","aschn","chn",72061871636,2021
"Asia","as","Hong Kong","ashkg","hkg",1581988960,2021
"Asia","as","Japan","asjpn","jpn",10938334192,2021
"Asia","as","South Korea","askor","kor",16890836050,2021
"Asia","as","Macau","asmac","mac",3108393,2021
"Asia","as","Mongolia","asmng","mng",1805316325,2021
"Asia","as","Chinese Taipei","astwn","twn",3706035391,2021
"Asia","as","Brunei","asbrn","brn",1311732080.9999998,2021
"Asia","as","Indonesia","asidn","idn",882587947,2021
"Asia","as","Cambodia","askhm","khm",45373544,2021
"Asia","as","Laos","aslao","lao",35966768,2021
"Asia","as","Burma","asmmr","mmr",68859030,2021
"Asia","as","Malaysia","asmys","mys",1508322470,2021
"Asia","as","Philippines","asphl","phl",574631371,2021
"Asia","as","Singapore","assgp","sgp",2604835174,2021
"Asia","as","Thailand","astha","tha",643562315,2021
"Asia","as","TimorLeste","astls","tls",23283,2021
"Asia","as","Vietnam","asvnm","vnm",2142385139,2021
"Asia","as","Afghanistan","asafg","afg",79186681,2021
"Asia","as","Bangladesh","asbgd","bgd",1720412898,2021
"Asia","as","India","asind","ind",7570227736,2021
"Asia","as","Iran","asirn","irn",1650102703,2021
"Asia","as","Sri Lanka","aslka","lka",148704333,2021
"Asia","as","Maldives","asmdv","mdv",12879225,2021
"Asia","as","Nepal","asnpl","npl",22100473,2021
"Asia","as","Pakistan","aspak","pak",648378363,2021
"Asia","as","United Arab Emirates","asare","are",4679887259,2021
"Asia","as","Armenia","asarm","arm",1888983151,2021
"Asia","as","Azerbaijan","asaze","aze",2207587197,2021
"Asia","as","Bahrain","asbhr","bhr",28108223,2021
"Asia","as","Georgia","asgeo","geo",1020061319,2021
"Asia","as","Iraq","asirq","irq",282630521,2021
"Asia","as","Israel","asisr","isr",1748767534,2021
"Asia","as","Jordan","asjor","jor",265193147,2021
"Asia","as","Kuwait","askwt","kwt",602446318,2021
"Asia","as","Lebanon","aslbn","lbn",572614970,2021
"Asia","as","Oman","asomn","omn",228917520,2021
"Asia","as","Palestine","aspse","pse",7164901,2021
"Asia","as","Qatar","asqat","qat",156794122,2021
"Asia","as","Saudi Arabia","assau","sau",2257462724,2021
"Asia","as","Turkey","astur","tur",20220059696,2021
"Asia","as","Yemen","asyem","yem",234382470,2021
"Asia","as","British Indian Ocean Territory","asiot","iot",8496,2021
"Europe","eu","Cyprus","ascyp","cyp",159616765,2021
"Europe","eu","Bulgaria","eubgr","bgr",3043262202,2021
"Europe","eu","Belarus","eublr","blr",20516959239,2021
"Europe","eu","Czechia","eucze","cze",6634986775,2021
"Europe","eu","Hungary","euhun","hun",4155455060,2021
"Europe","eu","Moldova","eumda","mda",1060382098,2021
"Europe","eu","Poland","eupol","pol",12642434678,2021
"Europe","eu","Romania","eurou","rou",3769676730,2021
"Europe","eu","Slovakia","eusvk","svk",6470045916,2021
"Europe","eu","Ukraine","euukr","ukr",8178106596,2021
"Europe","eu","Denmark","eudnk","dnk",2406713092,2021
"Europe","eu","Estonia","euest","est",3916332028,2021
"Europe","eu","Finland","eufin","fin",8879385954,2021
"Europe","eu","United Kingdom","eugbr","gbr",26445634131,2021
"Europe","eu","Ireland","euirl","irl",613596005,2021
"Europe","eu","Iceland","euisl","isl",53190829,2021
"Europe","eu","Lithuania","eultu","ltu",4442998126,2021
"Europe","eu","Latvia","eulva","lva",3794722715,2021
"Europe","eu","Norway","eunor","nor",2271031028,2021
"Europe","eu","Sweden","euswe","swe",1657299365,2021
"Europe","eu","Albania","eualb","alb",132663445,2021
"Europe","eu","Andorra","euand","and",13567667,2021
"Europe","eu","Bosnia and Herzegovina","eubih","bih",373313442,2021
"Europe","eu","Spain","euesp","esp",6257078748,2021
"Europe","eu","Gibraltar","eugib","gib",196158346.00000003,2021
"Europe","eu","Greece","eugrc","grc",4845105993,2021
"Europe","eu","Croatia","euhrv","hrv",910383921,2021
"Europe","eu","Italy","euita","ita",22708059573,2021
"Europe","eu","North Macedonia","eumkd","mkd",173428050,2021
"Europe","eu","Malta","eumlt","mlt",2255502111,2021
"Europe","eu","Montenegro","eumne","mne",12005342,2021
"Europe","eu","Portugal","euprt","prt",869351669,2021
"Europe","eu","San Marino","eusmr","smr",1284648,2021
"Europe","eu","Serbia","eusrb","srb",1656767198,2021
"Europe","eu","Slovenia","eusvn","svn",415380729,2021
"Europe","eu","Austria","euaut","aut",880310465,2021
"Europe","eu","Belgium","eubel","bel",8998712304,2021
"Europe","eu","Switzerland","euche","che",3207774889,2021
"Europe","eu","Germany","eudeu","deu",19129514039,2021
"Europe","eu","France","eufra","fra",9755143267,2021
"Europe","eu","Luxembourg","eulux","lux",59914153,2021
"Europe","eu","Netherlands","eunld","nld",39518051169,2021
"North America","na","Aruba","naabw","abw",172615,2021
"North America","na","Antigua and Barbuda","naatg","atg",29297,2021
"North America","na","Bahamas","nabhs","bhs",393440271.00000006,2021
"North America","na","Barbados","nabrb","brb",38291977,2021
"North America","na","Cuba","nacub","cub",627955777.9999999,2021
"North America","na","Curaçao","nacuw","cuw",423221,2021
"North America","na","Cayman Islands","nacym","cym",17697684,2021
"North America","na","Dominica","nadma","dma",192867,2021
"North America","na","Dominican Republic","nadom","dom",153936015,2021
"North America","na","Haiti","nahti","hti",22108581,2021
"North America","na","Jamaica","najam","jam",1312301,2021
"North America","na","Saint Kitts and Nevis","nakna","kna",2471,2021
"North America","na","Saint Lucia","nalca","lca",285019681,2021
"North America","na","Saint Martin","namaf","maf",180079.00000000003,2021
"North America","na","Trinidad and Tobago","natto","tto",2346337,2021
"North America","na","Saint Vincent and the Grenadines","navct","vct",1035297,2021
"North America","na","British Virgin Islands","navgb","vgb",12648555,2021
"North America","na","Belize","nablz","blz",356922,2021
"North America","na","Costa Rica","nacri","cri",80388352,2021
"North America","na","Guatemala","nagtm","gtm",247691423,2021
"North America","na","Honduras","nahnd","hnd",146651743,2021
"North America","na","Mexico","namex","mex",3443974681,2021
"North America","na","Nicaragua","nanic","nic",168630651,2021
"North America","na","Panama","napan","pan",85064942,2021
"North America","na","El Salvador","naslv","slv",138232827,2021
"North America","na","Bermuda","nabmu","bmu",147301.00000000003,2021
"North America","na","Canada","nacan","can",1438724580,2021
"North America","na","Greenland","nagrl","grl",146942.99999999997,2021
"North America","na","United States","nausa","usa",27330204690,2021
"Oceania","oc","Australia","ocaus","aus",302522688,2021
"Oceania","oc","New Zealand","ocnzl","nzl",66207463,2021
"Oceania","oc","Fiji","ocfji","fji",85241,2021
"Oceania","oc","New Caledonia","ocncl","ncl",2666944,2021
"Oceania","oc","Papua New Guinea","ocpng","png",1052483,2021
"Oceania","oc","Guam","ocgum","gum",21538,2021
"Oceania","oc","Kiribati","ockir","kir",392759,2021
"Oceania","oc","Marshall Islands","ocmhl","mhl",440659,2021
"Oceania","oc","Northern Mariana Islands","ocmnp","mnp",4405,2021
"Oceania","oc","French Polynesia","ocpyf","pyf",297095,2021
"Oceania","oc","Samoa","ocwsm","wsm",13160,2021
"South America","sa","Argentina","saarg","arg",565542441,2021
"South America","sa","Bolivia","sabol","bol",97391335,2021
"South America","sa","Brazil","sabra","bra",5591236996,2021
"South America","sa","Chile","sachl","chl",127811757,2021
"South America","sa","Colombia","sacol","col",438795249,2021
"South America","sa","Ecuador","saecu","ecu",508851288,2021
"South America","sa","Guyana","saguy","guy",3230112,2021
"South America","sa","Peru","saper","per",596198762,2021
"South America","sa","Paraguay","sapry","pry",173052789,2021
"South America","sa","Suriname","sasur","sur",3486912,2021
"South America","sa","Uruguay","saury","ury",124251435,2021
"Unknown","xx","French Southern Territories","xxatf","atf",769,2021
