"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Live animals",101,"Horses",10101,"Animal Products",1,1040095,2021
"Live animals",101,"Bovine",10102,"Animal Products",1,43602856,2021
"Live animals",101,"Pigs",10103,"Animal Products",1,3039754,2021
"Live animals",101,"Sheep and Goats",10104,"Animal Products",1,1346054,2021
"Live animals",101,"Poultry",10105,"Animal Products",1,1220,2021
"Live animals",101,"Other Animals",10106,"Animal Products",1,12169862,2021
"Meat & edible offal",102,"Bovine Meat",10201,"Animal Products",1,1778165,2021
"Meat & edible offal",102,"Frozen Bovine Meat",10202,"Animal Products",1,110897810,2021
"Meat & edible offal",102,"Pig Meat",10203,"Animal Products",1,7331673,2021
"Meat & edible offal",102,"Sheep and Goat Meat",10204,"Animal Products",1,692016,2021
"Meat & edible offal",102,"Horse Meat",10205,"Animal Products",1,19682,2021
"Meat & edible offal",102,"Edible Offal",10206,"Animal Products",1,6620184,2021
"Meat & edible offal",102,"Poultry Meat",10207,"Animal Products",1,704778888,2021
"Meat & edible offal",102,"Other Meat",10208,"Animal Products",1,4894,2021
"Meat & edible offal",102,"Animal Fat",10209,"Animal Products",1,76072,2021
"Meat & edible offal",102,"Preserved Meat",10210,"Animal Products",1,1187157,2021
"Fish, Crustaceans & Molluscs",103,"Live Fish",10301,"Animal Products",1,940718.0000000001,2021
"Fish, Crustaceans & Molluscs",103,"Non-fillet Fresh Fish",10302,"Animal Products",1,256601,2021
"Fish, Crustaceans & Molluscs",103,"Non-fillet Frozen Fish",10303,"Animal Products",1,6051297,2021
"Fish, Crustaceans & Molluscs",103,"Fish Fillets",10304,"Animal Products",1,39677879,2021
"Fish, Crustaceans & Molluscs",103,"Dried/Salted/Smoked/Brined Fish",10305,"Animal Products",1,7032898,2021
"Fish, Crustaceans & Molluscs",103,"Crustaceans",10306,"Animal Products",1,4230244,2021
"Fish, Crustaceans & Molluscs",103,"Molluscs",10307,"Animal Products",1,3491250,2021
"Fish, Crustaceans & Molluscs",103,"Aquatic invertebrates, other than crustaceans and molluscs",10308,"Animal Products",1,349,2021
"Edible products of animal origin, n.e.s.",104,"Milk",10401,"Animal Products",1,10695976,2021
"Edible products of animal origin, n.e.s.",104,"Concentrated Milk",10402,"Animal Products",1,59256881,2021
"Edible products of animal origin, n.e.s.",104,"Fermented Milk Products",10403,"Animal Products",1,8996389,2021
"Edible products of animal origin, n.e.s.",104,"Whey and other milk products",10404,"Animal Products",1,23297141,2021
"Edible products of animal origin, n.e.s.",104,"Butter",10405,"Animal Products",1,54835221,2021
"Edible products of animal origin, n.e.s.",104,"Cheese",10406,"Animal Products",1,26149001,2021
"Edible products of animal origin, n.e.s.",104,"Eggs",10407,"Animal Products",1,48687448,2021
"Edible products of animal origin, n.e.s.",104,"Processed Egg Products",10408,"Animal Products",1,16418309,2021
"Edible products of animal origin, n.e.s.",104,"Honey",10409,"Animal Products",1,145253589,2021
"Edible products of animal origin, n.e.s.",104,"Other Edible Animal Products",10410,"Animal Products",1,87664,2021
"Animal originated products, n.e.s.",105,"Human Hair",10501,"Animal Products",1,199349,2021
"Animal originated products, n.e.s.",105,"Animal Organs",10504,"Animal Products",1,15342066,2021
"Animal originated products, n.e.s.",105,"Bird Feathers and Skins",10505,"Animal Products",1,11589846,2021
"Animal originated products, n.e.s.",105,"Processed Bones",10506,"Animal Products",1,10553,2021
"Animal originated products, n.e.s.",105,"Raw Bones",10507,"Animal Products",1,1335438,2021
"Animal originated products, n.e.s.",105,"Coral and Shells",10508,"Animal Products",1,753819,2021
"Animal originated products, n.e.s.",105,"Pharmaceutical Animal Products",10510,"Animal Products",1,16445,2021
"Animal originated products, n.e.s.",105,"Other Inedible Animal Products",10511,"Animal Products",1,3931451,2021
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Bulbs and Roots",20601,"Vegetable Products",2,121959,2021
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Other live plants, cuttings and slips;
mushroom spawn",20602,"Vegetable Products",2,3295867,2021
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Cut Flowers",20603,"Vegetable Products",2,3305076,2021
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Plant foliage",20604,"Vegetable Products",2,1528031,2021
"Edible vegetables, roots, & tubers",207,"Potatoes",20701,"Vegetable Products",2,3909565.9999999995,2021
"Edible vegetables, roots, & tubers",207,"Tomatoes",20702,"Vegetable Products",2,5298983,2021
"Edible vegetables, roots, & tubers",207,"Onions",20703,"Vegetable Products",2,5009099,2021
"Edible vegetables, roots, & tubers",207,"Cabbages",20704,"Vegetable Products",2,2681628,2021
"Edible vegetables, roots, & tubers",207,"Lettuce",20705,"Vegetable Products",2,9271,2021
"Edible vegetables, roots, & tubers",207,"Root Vegetables",20706,"Vegetable Products",2,3564261,2021
"Edible vegetables, roots, & tubers",207,"Cucumbers",20707,"Vegetable Products",2,6287876,2021
"Edible vegetables, roots, & tubers",207,"Legumes",20708,"Vegetable Products",2,9231663,2021
"Edible vegetables, roots, & tubers",207,"Other Vegetables",20709,"Vegetable Products",2,8084400,2021
"Edible vegetables, roots, & tubers",207,"Frozen Vegetables",20710,"Vegetable Products",2,9833386,2021
"Edible vegetables, roots, & tubers",207,"Preserved Vegetables",20711,"Vegetable Products",2,1110709,2021
"Edible vegetables, roots, & tubers",207,"Dried Vegetables",20712,"Vegetable Products",2,2304240,2021
"Edible vegetables, roots, & tubers",207,"Dried Legumes",20713,"Vegetable Products",2,139536732,2021
"Edible vegetables, roots, & tubers",207,"Cassava",20714,"Vegetable Products",2,10934,2021
"Edible fruits, nuts & fruit peels",208,"Coconuts, Brazil Nuts, and Cashews",20801,"Vegetable Products",2,443182,2021
"Edible fruits, nuts & fruit peels",208,"Other Nuts",20802,"Vegetable Products",2,117225431,2021
"Edible fruits, nuts & fruit peels",208,"Bananas",20803,"Vegetable Products",2,547660,2021
"Edible fruits, nuts & fruit peels",208,"Tropical Fruits",20804,"Vegetable Products",2,78798,2021
"Edible fruits, nuts & fruit peels",208,"Citrus",20805,"Vegetable Products",2,240264,2021
"Edible fruits, nuts & fruit peels",208,"Grapes",20806,"Vegetable Products",2,59101,2021
"Edible fruits, nuts & fruit peels",208,"Melons",20807,"Vegetable Products",2,2640377,2021
"Edible fruits, nuts & fruit peels",208,"Apples and Pears",20808,"Vegetable Products",2,14830848,2021
"Edible fruits, nuts & fruit peels",208,"Pitted Fruits",20809,"Vegetable Products",2,1126389,2021
"Edible fruits, nuts & fruit peels",208,"Other Fruits",20810,"Vegetable Products",2,10580594,2021
"Edible fruits, nuts & fruit peels",208,"Frozen Fruits and Nuts",20811,"Vegetable Products",2,186055999,2021
"Edible fruits, nuts & fruit peels",208,"Preserved Fruits and Nuts",20812,"Vegetable Products",2,140645,2021
"Edible fruits, nuts & fruit peels",208,"Dried Fruits",20813,"Vegetable Products",2,5995769,2021
"Edible fruits, nuts & fruit peels",208,"Citrus and Melon Peels",20814,"Vegetable Products",2,9169,2021
"Coffee, tea, mate & spices",209,"Coffee",20901,"Vegetable Products",2,1748308,2021
"Coffee, tea, mate & spices",209,"Tea",20902,"Vegetable Products",2,5784138,2021
"Coffee, tea, mate & spices",209,"Mate",20903,"Vegetable Products",2,108,2021
"Coffee, tea, mate & spices",209,"Pepper",20904,"Vegetable Products",2,1051964,2021
"Coffee, tea, mate & spices",209,"Vanilla",20905,"Vegetable Products",2,658,2021
"Coffee, tea, mate & spices",209,"Cinnamon",20906,"Vegetable Products",2,66611,2021
"Coffee, tea, mate & spices",209,"Cloves",20907,"Vegetable Products",2,34081,2021
"Coffee, tea, mate & spices",209,"Nutmeg, mace and cardamons",20908,"Vegetable Products",2,35814,2021
"Coffee, tea, mate & spices",209,"Spice Seeds",20909,"Vegetable Products",2,7151648,2021
"Coffee, tea, mate & spices",209,"Spices",20910,"Vegetable Products",2,536298,2021
"Cereals",210,"Wheat",21001,"Vegetable Products",2,5557526384,2021
"Cereals",210,"Rye",21002,"Vegetable Products",2,22775306,2021
"Cereals",210,"Barley",21003,"Vegetable Products",2,1174415057,2021
"Cereals",210,"Oats",21004,"Vegetable Products",2,3982571,2021
"Cereals",210,"Corn",21005,"Vegetable Products",2,5855799534,2021
"Cereals",210,"Rice",21006,"Vegetable Products",2,6187320,2021
"Cereals",210,"Sorghum",21007,"Vegetable Products",2,13505548,2021
"Cereals",210,"Buckwheat",21008,"Vegetable Products",2,56683829,2021
"Products of the milling industry",211,"Wheat Flours",21101,"Vegetable Products",2,36661733,2021
"Products of the milling industry",211,"Cereal Flours",21102,"Vegetable Products",2,4775430,2021
"Products of the milling industry",211,"Cereal Meal and Pellets",21103,"Vegetable Products",2,17097204,2021
"Products of the milling industry",211,"Processed Cereals",21104,"Vegetable Products",2,41845985,2021
"Products of the milling industry",211,"Potato Flours",21105,"Vegetable Products",2,83369,2021
"Products of the milling industry",211,"Legume Flours",21106,"Vegetable Products",2,508863,2021
"Products of the milling industry",211,"Malt",21107,"Vegetable Products",2,22721228,2021
"Products of the milling industry",211,"Starches",21108,"Vegetable Products",2,39648553,2021
"Products of the milling industry",211,"Wheat Gluten",21109,"Vegetable Products",2,104.00000000000001,2021
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Soybeans",21201,"Vegetable Products",2,672547329,2021
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Ground Nuts",21202,"Vegetable Products",2,291681,2021
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Linseed",21204,"Vegetable Products",2,15077071,2021
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Rapeseed",21205,"Vegetable Products",2,1380235406,2021
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Sunflower Seeds",21206,"Vegetable Products",2,41493054,2021
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Other Oily Seeds",21207,"Vegetable Products",2,40166254,2021
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Oil Seed Flower",21208,"Vegetable Products",2,636294.0000000001,2021
