"Continent","Continent ID","Country","Country ID","ISO 3","Trade Value","Year"
"Africa","af","Algeria","afdza","dza",409157269,2021
"Africa","af","Egypt","afegy","egy",1909977895,2021
"Africa","af","Libya","aflby","lby",425007327,2021
"Africa","af","Morocco","afmar","mar",460982828,2021
"Africa","af","Sudan","afsdn","sdn",53027389,2021
"Africa","af","Tunisia","aftun","tun",442675416,2021
"Africa","af","Burundi","afbdi","bdi",1639560,2021
"Africa","af","Comoros","afcom","com",786238,2021
"Africa","af","Djibouti","afdji","dji",82553120,2021
"Africa","af","Eritrea","aferi","eri",11510493,2021
"Africa","af","Ethiopia","afeth","eth",672317353,2021
"Africa","af","Kenya","afken","ken",168187682,2021
"Africa","af","Madagascar","afmdg","mdg",28578975,2021
"Africa","af","Mozambique","afmoz","moz",25675192,2021
"Africa","af","Mauritius","afmus","mus",3864980,2021
"Africa","af","Malawi","afmwi","mwi",1139608,2021
"Africa","af","Rwanda","afrwa","rwa",1180352,2021
"Africa","af","Somalia","afsom","som",21610269,2021
"Africa","af","South Sudan","afssd","ssd",3927269,2021
"Africa","af","Seychelles","afsyc","syc",793713,2021
"Africa","af","Tanzania","aftza","tza",62822038,2021
"Africa","af","Uganda","afuga","uga",20267391,2021
"Africa","af","Angola","afago","ago",30870552,2021
"Africa","af","Central African Republic","afcaf","caf",1393339,2021
"Africa","af","Cameroon","afcmr","cmr",101650763,2021
"Africa","af","Democratic Republic of the Congo","afcod","cod",14278860,2021
"Africa","af","Republic of the Congo","afcog","cog",11682273,2021
"Africa","af","Gabon","afgab","gab",20968942,2021
"Africa","af","Equatorial Guinea","afgnq","gnq",2630490,2021
"Africa","af","Chad","aftcd","tcd",2743922,2021
"Africa","af","Botswana","afbwa","bwa",936046,2021
"Africa","af","Lesotho","aflso","lso",171192,2021
"Africa","af","Namibia","afnam","nam",790032,2021
"Africa","af","Eswatini","afswz","swz",70874,2021
"Africa","af","South Africa","afzaf","zaf",35072342,2021
"Africa","af","Zambia","afzmb","zmb",6039136,2021
"Africa","af","Zimbabwe","afzwe","zwe",3103190,2021
"Africa","af","Benin","afben","ben",55113907,2021
"Africa","af","Burkina Faso","afbfa","bfa",37160762,2021
"Africa","af","Cote d'Ivoire","afciv","civ",101289598,2021
"Africa","af","Cape Verde","afcpv","cpv",1843556.9999999998,2021
"Africa","af","Ghana","afgha","gha",222135770,2021
"Africa","af","Guinea","afgin","gin",19170874,2021
"Africa","af","Gambia","afgmb","gmb",37640565,2021
"Africa","af","GuineaBissau","afgnb","gnb",182035,2021
"Africa","af","Liberia","aflbr","lbr",13594511,2021
"Africa","af","Mali","afmli","mli",28209523,2021
"Africa","af","Mauritania","afmrt","mrt",75158248,2021
"Africa","af","Niger","afner","ner",3342587,2021
"Africa","af","Nigeria","afnga","nga",153645908,2021
"Africa","af","Senegal","afsen","sen",159908655,2021
"Africa","af","Sierra Leone","afsle","sle",6683173,2021
"Africa","af","Togo","aftgo","tgo",37030025,2021
"Asia","as","Kazakhstan","askaz","kaz",425422543,2021
"Asia","as","Kyrgyzstan","askgz","kgz",52046415,2021
"Asia","as","Tajikistan","astjk","tjk",22021937,2021
"Asia","as","Turkmenistan","astkm","tkm",52522674,2021
"Asia","as","Uzbekistan","asuzb","uzb",417977529,2021
"Asia","as","China","aschn","chn",8083356629,2021
"Asia","as","Hong Kong","ashkg","hkg",88365212,2021
"Asia","as","Japan","asjpn","jpn",354149144,2021
"Asia","as","South Korea","askor","kor",311770865,2021
"Asia","as","Macau","asmac","mac",1006562,2021
"Asia","as","Mongolia","asmng","mng",27359987,2021
"Asia","as","Chinese Taipei","astwn","twn",123998872,2021
"Asia","as","Brunei","asbrn","brn",1110877,2021
"Asia","as","Cocos (Keeling) Islands","ascck","cck",14860,2021
"Asia","as","Indonesia","asidn","idn",782513435,2021
"Asia","as","Cambodia","askhm","khm",3356231,2021
"Asia","as","Laos","aslao","lao",2063637.9999999998,2021
"Asia","as","Burma","asmmr","mmr",29117024,2021
"Asia","as","Malaysia","asmys","mys",170871236,2021
"Asia","as","Philippines","asphl","phl",109634443,2021
"Asia","as","Singapore","assgp","sgp",32641502,2021
"Asia","as","Thailand","astha","tha",275858112,2021
"Asia","as","TimorLeste","astls","tls",42688,2021
"Asia","as","Vietnam","asvnm","vnm",297837929,2021
"Asia","as","Afghanistan","asafg","afg",4553749,2021
"Asia","as","Bangladesh","asbgd","bgd",250566959,2021
"Asia","as","India","asind","ind",2517734482,2021
"Asia","as","Iran","asirn","irn",592007243,2021
"Asia","as","Sri Lanka","aslka","lka",67873335,2021
"Asia","as","Maldives","asmdv","mdv",3191316,2021
"Asia","as","Nepal","asnpl","npl",21561924,2021
"Asia","as","Pakistan","aspak","pak",848380720,2021
"Asia","as","United Arab Emirates","asare","are",610229912,2021
"Asia","as","Armenia","asarm","arm",133113605,2021
"Asia","as","Azerbaijan","asaze","aze",392895097,2021
"Asia","as","Bahrain","asbhr","bhr",10486671,2021
"Asia","as","Georgia","asgeo","geo",453937236,2021
"Asia","as","Iraq","asirq","irq",686667119,2021
"Asia","as","Israel","asisr","isr",728534542,2021
"Asia","as","Jordan","asjor","jor",165243888,2021
"Asia","as","Kuwait","askwt","kwt",47922620,2021
"Asia","as","Lebanon","aslbn","lbn",415358934,2021
"Asia","as","Oman","asomn","omn",212037737,2021
"Asia","as","Palestine","aspse","pse",21729500,2021
"Asia","as","Qatar","asqat","qat",127212164,2021
"Asia","as","Saudi Arabia","assau","sau",977920968,2021
"Asia","as","Syria","assyr","syr",3265038,2021
"Asia","as","Turkey","astur","tur",4134351983,2021
"Asia","as","Yemen","asyem","yem",234705139.00000003,2021
"Asia","as","British Indian Ocean Territory","asiot","iot",15345,2021
"Europe","eu","Cyprus","ascyp","cyp",47338388,2021
"Europe","eu","Bulgaria","eubgr","bgr",803639370,2021
"Europe","eu","Belarus","eublr","blr",1470102404,2021
"Europe","eu","Czechia","eucze","cze",1494146830,2021
"Europe","eu","Hungary","euhun","hun",1607904155,2021
"Europe","eu","Moldova","eumda","mda",854890097,2021
"Europe","eu","Poland","eupol","pol",5015026993,2021
"Europe","eu","Romania","eurou","rou",1535234201,2021
"Europe","eu","Russia","eurus","rus",3658121204,2021
"Europe","eu","Slovakia","eusvk","svk",958798264,2021
"Europe","eu","Denmark","eudnk","dnk",280344654,2021
"Europe","eu","Estonia","euest","est",176111373,2021
"Europe","eu","Finland","eufin","fin",124808864,2021
"Europe","eu","United Kingdom","eugbr","gbr",1065097132,2021
"Europe","eu","Ireland","euirl","irl",109246880,2021
"Europe","eu","Iceland","euisl","isl",4118973,2021
"Europe","eu","Lithuania","eultu","ltu",561210212,2021
"Europe","eu","Latvia","eulva","lva",300537986,2021
"Europe","eu","Norway","eunor","nor",61828145,2021
"Europe","eu","Sweden","euswe","swe",129198974,2021
"Europe","eu","Albania","eualb","alb",40096943,2021
"Europe","eu","Andorra","euand","and",458286,2021
"Europe","eu","Bosnia and Herzegovina","eubih","bih",31996157,2021
"Europe","eu","Spain","euesp","esp",1679049577,2021
"Europe","eu","Gibraltar","eugib","gib",132720,2021
"Europe","eu","Greece","eugrc","grc",226078311,2021
"Europe","eu","Croatia","euhrv","hrv",52043407,2021
"Europe","eu","Italy","euita","ita",3381546652,2021
"Europe","eu","North Macedonia","eumkd","mkd",135958879,2021
"Europe","eu","Malta","eumlt","mlt",31287894,2021
"Europe","eu","Montenegro","eumne","mne",7810742,2021
"Europe","eu","Portugal","euprt","prt",318598902,2021
"Europe","eu","San Marino","eusmr","smr",1693780,2021
"Europe","eu","Serbia","eusrb","srb",212104591,2021
"Europe","eu","Slovenia","eusvn","svn",75739072,2021
"Europe","eu","Austria","euaut","aut",930277284,2021
"Europe","eu","Belgium","eubel","bel",656810399,2021
"Europe","eu","Switzerland","euche","che",312227279,2021
"Europe","eu","Germany","eudeu","deu",2967065735,2021
"Europe","eu","France","eufra","fra",863568399,2021
"Europe","eu","Luxembourg","eulux","lux",23420317,2021
"Europe","eu","Netherlands","eunld","nld",2151516224,2021
"North America","na","Aruba","naabw","abw",4048.9999999999995,2021
"North America","na","Anguilla","naaia","aia",1815,2021
"North America","na","Antigua and Barbuda","naatg","atg",24438,2021
"North America","na","Bahamas","nabhs","bhs",197608,2021
"North America","na","Barbados","nabrb","brb",631656,2021
"North America","na","Cuba","nacub","cub",6662081,2021
"North America","na","Curaçao","nacuw","cuw",8986,2021
"North America","na","Cayman Islands","nacym","cym",27343,2021
"North America","na","Dominica","nadma","dma",5955,2021
"North America","na","Dominican Republic","nadom","dom",387241193,2021
"North America","na","Grenada","nagrd","grd",57925,2021
"North America","na","Haiti","nahti","hti",36589105,2021
"North America","na","Jamaica","najam","jam",73730,2021
"North America","na","Saint Kitts and Nevis","nakna","kna",10667,2021
"North America","na","Saint Martin","namaf","maf",38623,2021
"North America","na","Montserrat","namsr","msr",34,2021
"North America","na","Trinidad and Tobago","natto","tto",1601269,2021
"North America","na","Saint Vincent and the Grenadines","navct","vct",6560,2021
"North America","na","British Virgin Islands","navgb","vgb",142940,2021
"North America","na","Belize","nablz","blz",104461,2021
"North America","na","Costa Rica","nacri","cri",165731766.99999997,2021
"North America","na","Guatemala","nagtm","gtm",72878011,2021
"North America","na","Honduras","nahnd","hnd",5273579,2021
"North America","na","Mexico","namex","mex",200229661,2021
"North America","na","Nicaragua","nanic","nic",742546,2021
"North America","na","Panama","napan","pan",5059511,2021
"North America","na","El Salvador","naslv","slv",1275223,2021
"North America","na","Bermuda","nabmu","bmu",21138,2021
"North America","na","Canada","nacan","can",193924516,2021
"North America","na","United States","nausa","usa",1736530817,2021
"Oceania","oc","Australia","ocaus","aus",77305056,2021
"Oceania","oc","New Zealand","ocnzl","nzl",16685191,2021
