"Continent","Continent ID","Country","Country ID","ISO 3","Trade Value","Year"
"Africa","af","Algeria","afdza","dza",44784161,2021
"Africa","af","Egypt","afegy","egy",128008335,2021
"Africa","af","Libya","aflby","lby",147067165,2021
"Africa","af","Morocco","afmar","mar",126266643,2021
"Africa","af","Sudan","afsdn","sdn",9180726,2021
"Africa","af","Tunisia","aftun","tun",43914942,2021
"Africa","af","Burundi","afbdi","bdi",235754.00000000003,2021
"Africa","af","Comoros","afcom","com",32454.000000000004,2021
"Africa","af","Djibouti","afdji","dji",3110879,2021
"Africa","af","Eritrea","aferi","eri",55935,2021
"Africa","af","Ethiopia","afeth","eth",6719840,2021
"Africa","af","Kenya","afken","ken",12315240,2021
"Africa","af","Madagascar","afmdg","mdg",1974484,2021
"Africa","af","Mozambique","afmoz","moz",11963442,2021
"Africa","af","Mauritius","afmus","mus",774238,2021
"Africa","af","Malawi","afmwi","mwi",31015449.000000004,2021
"Africa","af","Rwanda","afrwa","rwa",883720,2021
"Africa","af","Somalia","afsom","som",3494052,2021
"Africa","af","Seychelles","afsyc","syc",448257,2021
"Africa","af","Tanzania","aftza","tza",4629046,2021
"Africa","af","Uganda","afuga","uga",10829122,2021
"Africa","af","Angola","afago","ago",15211,2021
"Africa","af","Central African Republic","afcaf","caf",486982.99999999994,2021
"Africa","af","Cameroon","afcmr","cmr",914396,2021
"Africa","af","Democratic Republic of the Congo","afcod","cod",11251261,2021
"Africa","af","Republic of the Congo","afcog","cog",255028.00000000003,2021
"Africa","af","Gabon","afgab","gab",395510.99999999994,2021
"Africa","af","Equatorial Guinea","afgnq","gnq",447.99999999999994,2021
"Africa","af","Sao Tome and Principe","afstp","stp",99,2021
"Africa","af","Chad","aftcd","tcd",1744.0000000000002,2021
"Africa","af","Botswana","afbwa","bwa",135697,2021
"Africa","af","Lesotho","aflso","lso",1337,2021
"Africa","af","Namibia","afnam","nam",431089.00000000006,2021
"Africa","af","Eswatini","afswz","swz",335714,2021
"Africa","af","South Africa","afzaf","zaf",100543194,2021
"Africa","af","Zambia","afzmb","zmb",436533,2021
"Africa","af","Zimbabwe","afzwe","zwe",10512713,2021
"Africa","af","Benin","afben","ben",22421524,2021
"Africa","af","Burkina Faso","afbfa","bfa",1697593,2021
"Africa","af","Cote d'Ivoire","afciv","civ",86282540,2021
"Africa","af","Cape Verde","afcpv","cpv",161823,2021
"Africa","af","Ghana","afgha","gha",122412991,2021
"Africa","af","Guinea","afgin","gin",140425632,2021
"Africa","af","GuineaBissau","afgnb","gnb",182,2021
"Africa","af","Liberia","aflbr","lbr",6736.999999999999,2021
"Africa","af","Mali","afmli","mli",6603976,2021
"Africa","af","Mauritania","afmrt","mrt",4149272,2021
"Africa","af","Niger","afner","ner",32381,2021
"Africa","af","Nigeria","afnga","nga",8407941,2021
"Africa","af","Senegal","afsen","sen",6194380,2021
"Africa","af","Saint Helena","afshn","shn",2989,2021
"Africa","af","Sierra Leone","afsle","sle",231793,2021
"Africa","af","Togo","aftgo","tgo",120716,2021
"Asia","as","Kazakhstan","askaz","kaz",790477205,2021
"Asia","as","Kyrgyzstan","askgz","kgz",6842462,2021
"Asia","as","Tajikistan","astjk","tjk",1022628,2021
"Asia","as","Turkmenistan","astkm","tkm",89808769,2021
"Asia","as","Uzbekistan","asuzb","uzb",237016357,2021
"Asia","as","China","aschn","chn",10376293205,2021
"Asia","as","Hong Kong","ashkg","hkg",70045703,2021
"Asia","as","Japan","asjpn","jpn",1104465634,2021
"Asia","as","South Korea","askor","kor",641675014,2021
"Asia","as","Macau","asmac","mac",38481,2021
"Asia","as","Mongolia","asmng","mng",413902,2021
"Asia","as","North Korea","asprk","prk",58261.99999999999,2021
"Asia","as","Chinese Taipei","astwn","twn",249426538,2021
"Asia","as","Brunei","asbrn","brn",47701,2021
"Asia","as","Christmas Island","ascxr","cxr",99.00000000000001,2021
"Asia","as","Indonesia","asidn","idn",450650676,2021
"Asia","as","Cambodia","askhm","khm",25507121,2021
"Asia","as","Laos","aslao","lao",928660,2021
"Asia","as","Burma","asmmr","mmr",18219979,2021
"Asia","as","Malaysia","asmys","mys",248695793,2021
"Asia","as","Philippines","asphl","phl",64888464,2021
"Asia","as","Singapore","assgp","sgp",45085476,2021
"Asia","as","Thailand","astha","tha",230985688,2021
"Asia","as","TimorLeste","astls","tls",8,2021
"Asia","as","Vietnam","asvnm","vnm",502219250,2021
"Asia","as","Afghanistan","asafg","afg",439651,2021
"Asia","as","Bangladesh","asbgd","bgd",123255261,2021
"Asia","as","Bhutan","asbtn","btn",140,2021
"Asia","as","India","asind","ind",692626677,2021
"Asia","as","Iran","asirn","irn",112673732,2021
"Asia","as","Sri Lanka","aslka","lka",37936065,2021
"Asia","as","Maldives","asmdv","mdv",72249,2021
"Asia","as","Nepal","asnpl","npl",44683,2021
"Asia","as","Pakistan","aspak","pak",92450999,2021
"Asia","as","United Arab Emirates","asare","are",154861763,2021
"Asia","as","Armenia","asarm","arm",27705422,2021
"Asia","as","Azerbaijan","asaze","aze",455201519,2021
"Asia","as","Bahrain","asbhr","bhr",586945,2021
"Asia","as","Georgia","asgeo","geo",306903884,2021
"Asia","as","Iraq","asirq","irq",127631,2021
"Asia","as","Israel","asisr","isr",214138033,2021
"Asia","as","Jordan","asjor","jor",8754291,2021
"Asia","as","Kuwait","askwt","kwt",2099723,2021
"Asia","as","Lebanon","aslbn","lbn",5590390,2021
"Asia","as","Oman","asomn","omn",16005928,2021
"Asia","as","Palestine","aspse","pse",37080,2021
"Asia","as","Qatar","asqat","qat",17395196,2021
"Asia","as","Saudi Arabia","assau","sau",174573126,2021
"Asia","as","Syria","assyr","syr",21125726.000000004,2021
"Asia","as","Turkey","astur","tur",3059524727,2021
"Asia","as","Yemen","asyem","yem",2380790,2021
"Asia","as","British Indian Ocean Territory","asiot","iot",557,2021
"Europe","eu","Cyprus","ascyp","cyp",30243500,2021
"Europe","eu","Bulgaria","eubgr","bgr",530340154,2021
"Europe","eu","Belarus","eublr","blr",4975986612,2021
"Europe","eu","Czechia","eucze","cze",1743483593,2021
"Europe","eu","Hungary","euhun","hun",2470069506,2021
"Europe","eu","Moldova","eumda","mda",135620347,2021
"Europe","eu","Poland","eupol","pol",6590966253,2021
"Europe","eu","Romania","eurou","rou",854210134,2021
