"Continent","Continent ID","Country","Country ID","ISO 3","Trade Value","Year"
"Africa","af","Egypt","afegy","egy",466330600,2023
"Africa","af","Morocco","afmar","mar",98481110,2023
"Africa","af","Tunisia","aftun","tun",16968496,2023
"Africa","af","Ethiopia","afeth","eth",12934261,2023
"Africa","af","Kenya","afken","ken",34048640,2023
"Africa","af","Madagascar","afmdg","mdg",2524812,2023
"Africa","af","Mozambique","afmoz","moz",265000,2023
"Africa","af","Mauritius","afmus","mus",1465111.9999999998,2023
"Africa","af","Malawi","afmwi","mwi",1323147,2023
"Africa","af","Seychelles","afsyc","syc",8358.000000000002,2023
"Africa","af","Tanzania","aftza","tza",5999749,2023
"Africa","af","Uganda","afuga","uga",15302452,2023
"Africa","af","Angola","afago","ago",66821,2023
"Africa","af","Central African Republic","afcaf","caf",61849,2023
"Africa","af","Gabon","afgab","gab",995,2023
"Africa","af","Botswana","afbwa","bwa",572,2023
"Africa","af","Namibia","afnam","nam",3936427,2023
"Africa","af","Eswatini","afswz","swz",334934,2023
"Africa","af","South Africa","afzaf","zaf",282759808,2023
"Africa","af","Zambia","afzmb","zmb",15484,2023
"Africa","af","Zimbabwe","afzwe","zwe",169388,2023
"Africa","af","Benin","afben","ben",149418,2023
"Africa","af","Burkina Faso","afbfa","bfa",306179,2023
"Africa","af","Cote d'Ivoire","afciv","civ",58259074.00000001,2023
"Africa","af","Ghana","afgha","gha",10979459,2023
"Africa","af","Mauritania","afmrt","mrt",34061,2023
"Africa","af","Nigeria","afnga","nga",10018097,2023
"Africa","af","Senegal","afsen","sen",27202,2023
"Asia","as","Kazakhstan","askaz","kaz",9782132475,2023
"Asia","as","Kyrgyzstan","askgz","kgz",746369029,2023
"Asia","as","Uzbekistan","asuzb","uzb",3023085135,2023
"Asia","as","China","aschn","chn",110013940831,2023
"Asia","as","Hong Kong","ashkg","hkg",2648935705,2023
"Asia","as","Japan","asjpn","jpn",2613119762,2023
"Asia","as","Macau","asmac","mac",87438,2023
"Asia","as","Chinese Taipei","astwn","twn",780377250,2023
"Asia","as","Indonesia","asidn","idn",912876015,2023
"Asia","as","Cambodia","askhm","khm",3291716,2023
"Asia","as","Burma","asmmr","mmr",38623467,2023
"Asia","as","Malaysia","asmys","mys",619567071,2023
"Asia","as","Philippines","asphl","phl",48731038,2023
"Asia","as","Singapore","assgp","sgp",136729690,2023
"Asia","as","Thailand","astha","tha",820829714,2023
"Asia","as","India","asind","ind",4053982486,2023
"Asia","as","Sri Lanka","aslka","lka",146421565,2023
"Asia","as","Pakistan","aspak","pak",88285727,2023
"Asia","as","United Arab Emirates","asare","are",4489185872,2023
"Asia","as","Armenia","asarm","arm",3378524523,2023
"Asia","as","Azerbaijan","asaze","aze",1196311370,2023
"Asia","as","Bahrain","asbhr","bhr",1274461,2023
"Asia","as","Georgia","asgeo","geo",657030465,2023
"Asia","as","Israel","asisr","isr",552068797,2023
"Asia","as","Jordan","asjor","jor",4127699,2023
"Asia","as","Kuwait","askwt","kwt",1025910,2023
"Asia","as","Lebanon","aslbn","lbn",8928226,2023
"Asia","as","Oman","asomn","omn",21980613,2023
"Asia","as","Saudi Arabia","assau","sau",18589764,2023
"Asia","as","Turkey","astur","tur",10805512732,2023
"Europe","eu","Cyprus","ascyp","cyp",23039358,2023
"Europe","eu","Bulgaria","eubgr","bgr",540156048,2023
"Europe","eu","Czechia","eucze","cze",731314948,2023
