REPORTER_LAB,PARTNER_LAB,PRODUCT,PRODUCT_LAB,FLOW_LAB,STAT_PROCEDURE_LAB,PERIOD_LAB,INDICATORS_LAB,INDICATOR_VALUE
"Austria","Ukraine",TOTAL,"Total","IMPORT","Total","Jan.-Dec. 2023","VALUE_IN_EUR",671830742
"Austria","Ukraine",TOTAL,"Total","IMPORT","Total","Jan.-Dec. 2021","VALUE_IN_EUR",873567037
"Austria","Russian Federation (Russia)",TOTAL,"Total","IMPORT","Total","Jan.-Dec. 2023","VALUE_IN_EUR",3666676104
"Austria","Russian Federation (Russia)",TOTAL,"Total","IMPORT","Total","Jan.-Dec. 2021","VALUE_IN_EUR",3692264161
"Austria","All countries of the world",TOTAL,"Total","IMPORT","Total","Jan.-Dec. 2023","VALUE_IN_EUR",209277541331
"Austria","All countries of the world",TOTAL,"Total","IMPORT","Total","Jan.-Dec. 2021","VALUE_IN_EUR",185732274434
"Belgium (incl. Luxembourg 'LU' -> 1998)","Ukraine",TOTAL,"Total","IMPORT","Total","Jan.-Dec. 2023","VALUE_IN_EUR",561705904
"Belgium (incl. Luxembourg 'LU' -> 1998)","Ukraine",TOTAL,"Total","IMPORT","Total","Jan.-Dec. 2021","VALUE_IN_EUR",678391396
"Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)",TOTAL,"Total","IMPORT","Total","Jan.-Dec. 2023","VALUE_IN_EUR",3844684383
"Belgium (incl. Luxembourg 'LU' -> 1998)","Russian Federation (Russia)",TOTAL,"Total","IMPORT","Total","Jan.-Dec. 2021","VALUE_IN_EUR",7796228333
"Belgium (incl. Luxembourg 'LU' -> 1998)","All countries of the world",TOTAL,"Total","IMPORT","Total","Jan.-Dec. 2023","VALUE_IN_EUR",514326550122
"Belgium (incl. Luxembourg 'LU' -> 1998)","All countries of the world",TOTAL,"Total","IMPORT","Total","Jan.-Dec. 2021","VALUE_IN_EUR",446063530250
"Bulgaria","Ukraine",TOTAL,"Total","IMPORT","Total","Jan.-Dec. 2023","VALUE_IN_EUR",1012019990
"Bulgaria","Ukraine",TOTAL,"Total","IMPORT","Total","Jan.-Dec. 2021","VALUE_IN_EUR",835721958
